Ave Lat	Max Lat	Min Lat	Cycle
127.05	184	64	186
200.12	236	138	248
247.66	297	179	301
292.55	340	206	352
329.24	390	251	400
367.29	434	288	443
404.04	469	307	492
445.44	507	361	541
489.85	553	380	592
523.35	590	429	635
559.23	651	465	690
605.44	690	503	741
644.38	738	531	794
690.85	780	540	845
736.68	847	574	904
784.32	884	597	954
815.7	922	632	1010
866.77	968	678	1065
922.59	1033	700	1121
958.37	1105	751	1178
1019.44	1140	797	1233
1055.25	1183	820	1286
1095.75	1253	857	1344
1155.78	1270	905	1400
1186.27	1335	940	1455
1240.6	1390	987	1515
1280.2	1440	1045	1573
1341.63	1516	1094	1631
1386.59	1554	1114	1686
1445.27	1611	1190	1743
1463.11	1666	1213	1801
1538.9	1741	1244	1865
1573.77	1765	1297	1925
1631.71	1827	1338	1984
1668.33	1896	1374	2048
1724.76	1935	1411	2107
1783.64	2009	1453	2168
1828.23	2053	1509	2228
1875.48	2142	1548	2290
1930.56	2186	1585	2353
2004.88	2254	1667	2412
2043.88	2281	1689	2469
2072.43	2326	1719	2535
2128.85	2431	1770	2598
2199.39	2484	1799	2663
2236.48	2537	1836	2722
2295.96	2565	1864	2781
2327.68	2688	1923	2845
2397.17	2674	1962	2909
2462.63	2773	2011	2966
2505.78	2811	2053	3027
2555.55	2870	2117	3087
2612.01	2931	2143	3151
2647.46	3031	2186	3213
2716.44	3079	2238	3279
2738.96	3127	2276	3340
2794.27	3206	2320	3406
2867	3249	2360	3466
2926.85	3266	2401	3532
2980.67	3383	2461	3595
3008.32	3393	2491	3655
3078.05	3464	2550	3717
3116.92	3490	2616	3781
3219.46	3591	2693	3839
3221.61	3613	2686	3900
3305.8	3695	2725	3965
3329.54	3781	2787	4029
3398.44	3866	2860	4096
3442.65	3870	2876	4155
3505.89	3910	2945	4219
3560.99	4036	2963	4287
3635.05	4092	3014	4345
3645.89	4158	3049	4408
3718.61	4175	3109	4472
3747.45	4219	3146	4535
3848.17	4343	3189	4594
3893.97	4385	3238	4656
3890.77	4445	3277	4725
3968.22	4490	3316	4785
4051.16	4513	3373	4846
4068.29	4619	3405	4910
4152.59	4652	3462	4966
4172.89	4744	3492	5032
4228.12	4813	3588	5103
4267.88	4853	3600	5167
4372.16	4945	3694	5233
4361.86	4890	3707	5304
4470.94	5080	3766	5367
4500.71	5121	3819	5434
4555.04	5180	3868	5496
4646.68	5259	3921	5557
4668.28	5314	3979	5621
4710.09	5361	4045	5686
4769.77	5353	4078	5750
4850.25	5400	4109	5814
4881.85	5560	4163	5879
4947.65	5606	4182	5938
5006.81	5676	4232	6005
5006.13	5718	4290	6074
5105.4	5704	4343	6141
5146.34	5851	4384	6206
5228.85	5890	4434	6267
5294.29	5984	4498	6326
5381.93	6046.5	4527	6385
5328.03	5981	4578	6443
5408.49	6082	4621	6509
5445.55	6202	4647	6573
5515.14	6316	4649	6641
5568.5	6296	4709	6701
5575.25	6381	4773	6770
5704.35	6470	4821	6838
5718.7	6477	4863	6902
5840.18	6555	4880	6962
5813.48	6588	4914	7028
5969.09	6698	4998	7086
5930.74	6675	5002	7147
6023.89	6833	5045	7213
6123.9	6844	5103	7276
6116.81	6911	5169	7337
6200.86	6895	5216	7399
6242.86	7076	5248	7465
6306.38	7091	5306	7526
6307.08	7183	5347	7592
6405.35	7159	5386	7654
6456.5	7301	5455	7715
6512.27	7382	5481	7778
6525.64	7353	5543	7842
6625.21	7513	5585	7907
6635.17	7488	5644	7966
6720.17	7527	5685	8035
6710.87	7627	5728	8097
6833.12	7721	5761	8165
6888.97	7731	5797	8225
6939.85	7838	5882	8287
6989.2	7897	5909	8349
7056.07	7875	5939	8412
7078.77	7955	5992	8475
7103.58	8096	6043	8535
7181.56	8142	6072	8601
7286.86	8167	6118	8653
7254.17	8227	6158	8720
7360.26	8235	6186	8783
7372.25	8344	6257	8846
7482.52	8427	6288	8907
7491.46	8503	6344	8969
7526.61	8524	6385	9038
7646.51	8594	6450	9101
7605.31	8589	6497	9169
7718.52	8747	6550	9229
7826.17	8740	6608	9289
7859.53	8755	6772	9353
7836.42	8921	6689	9422
7958.59	8927	6795	9486
7971.24	9059	6785	9555
7995.13	9087	6864	9623
8126.47	9156	6909	9683
8121.96	9206	6931	9749
8163.57	9314	7003	9822
8263.62	9313	7041	9881
8280.3	9412	7082	9944
8435.33	9460	7133	10008
8366.42	9554	7176	10077
8467.48	9623	7221	10135
8471.12	9486	7256	10202
8800.84	9723	7321	10271
8960.25	9793	7710	10335
9076.71	9793	8384	10414
9265.6	9911	8466	10494
9394.48	9993	8533	10577
9706.16	10111	9069	10705
