Ave Lat	Max Lat	Min Lat	Cycle
48.02	59	44	64
63.21	87	44	92
80.72	102	51	114
97.28	132	67	141
114.21	146	76	165
132.91	171	94	190
148.7	185	107	218
168.85	208	122	239
184.57	220	134	268
202.57	243	154	289
219.05	266	168	317
235.72	281	180	339
252.63	296	192	365
269.86	308	213	390
289.06	331	232	415
304.35	344	240	444
321.87	367	262	464
338.36	388	278	492
355.23	403	298	514
372.83	429	303	541
390.46	433	333	565
408.92	455	343	590
424.23	473	357	618
441.99	487	377	639
459.03	506	390	668
477.91	531	414	689
495.39	546	424	717
511.07	570	442	739
529.71	584	455	765
545.23	598	476	790
563.98	623	486	815
580.28	631	499	844
598.16	650	525	864
615.99	671	535	892
633.54	685	551	914
651.29	704	571	941
669.66	726	586	965
687.28	743	611	990
700.9	767	624	1018
719.71	782	653	1039
736.7	809	652	1068
754.52	821	662	1089
773.19	849	689	1117
