Ave Lat	Max Lat	Min Lat	Cycle
44.14	51	44	62
46.38	59	44	81
48.24	72	44	98
47.71	79	44	113
48.95	88	44	127
47.4	97	44	141
48.87	90	44	157
48.33	90	44	173
49.74	100	44	190
48.87	93	44	204
48.92	108	44	221
48.94	100	44	236
49.07	99	44	251
48.91	87	44	267
49.14	98	44	283
48.41	108	44	301
47.93	90	44	316
47.98	74	44	332
48.12	75	44	350
47.7	78	44	365
47.36	69	44	380
48.19	81	44	395
49.26	89	44	411
49.04	87	44	426
49.02	89	44	442
47.86	67	44	456
48.85	78	44	473
48.04	70	44	489
47.98	81	44	504
48.1	75	44	519
47.33	81	44	534
47.2	63	44	550
47.46	66	44	568
47.46	70	44	586
47.38	72	44	602
48.39	72	44	617
48.6	80	44	632
48.48	85	44	649
47.37	98	44	666
48.73	101	44	683
48.62	92	44	698
48.6	85	44	712
48.95	78	44	728
49.01	91	44	743
49.8	100	44	760
49.87	102	44	775
49.28	95	44	791
50.46	97	44	805
50.52	108	44	821
49.54	93	44	839
49.53	103	44	855
49.46	95	44	869
49.04	95	44	887
47.41	76	44	901
48.38	84	44	916
50.1	84	44	933
48.38	90	44	947
48.97	91	44	962
50.21	84	44	976
48.78	93	44	992
49.88	92	44	1008
51	106	44	1021
51.02	106	44	1035
51.12	109	44	1049
