Ave Lat	Max Lat	Min Lat	Cycle
96.41	128	84	137
114.13	151	84	168
122.82	161	84	200
130.17	174	84	232
136.73	194	84	263
142.23	200	88	294
151.57	211	84	324
152.94	219	90	356
152.46	242	88	386
158.34	246	89	416
164.86	271	94	443
169.23	274	100	470
178.26	306	95	499
178.1	279	84	529
186.81	319	98	557
183.58	322	88	587
191.36	351	93	615
188.43	309	92	643
192.37	341	96	670
197.54	327	105	698
191.8	339	92	727
195.08	361	90	755
203.66	333	91	781
207.47	377	98	809
214.4	366	113	839
218.86	380	88	869
223.12	394	89	896
218.69	402	84	927
223.76	415	84	957
225.45	401	85	987
229.26	452	94	1018
227.01	469	91	1047
238.64	490	93	1081
242.6	501	90	1115
243.21	487	88	1143
243.75	564	96	1172
235.08	512	98	1207
268.42	624	120	1239
268.93	567	105	1273
255.74	635	87	1307
278.39	631	105	1342
281.75	626	125	1377
297.79	673	105	1407
298.4	603	114	1439
301.22	665	84	1475
312.05	719	88	1506
315.6	671	105	1540
307.7	674	85	1574
331.8	766	89	1607
331.87	737	97	1641
347.89	742	92	1671
344.9	803	132	1710
362.02	816	103	1742
353.55	765	107	1775
362.9	840	91	1813
380.53	889	117	1849
387.31	902	93	1879
346.15	919	122	1919
417.97	969	132	1950
427.26	993	139	1985
373.07	917	124	2023
424.33	1045	135	2059
429.58	1009	133	2091
400.04	1089	143	2129
450.56	1080	159	2162
459.8	1077	153	2199
429.5	1085	132	2234
485.13	1116	146	2268
500.32	1150	124	2303
438.76	1166	138	2338
518.71	1192	134	2370
515.4	1195	147	2403
471.6	1205	133	2442
543.57	1284	130	2475
510.31	1244	156	2508
490.27	1287	128	2546
602.78	1341	125	2578
510.78	1352	124	2616
527.74	1361	142	2654
604.64	1410	147	2684
529.19	1397	133	2721
570.3	1414	139	2758
621.34	1411	124	2791
537.65	1434	130	2829
600.95	1482	125	2863
631.05	1492	149	2896
562.39	1516	118	2933
633.87	1564	137	2968
610.72	1520	144	3002
610.93	1595	142	3037
686.17	1614	158	3070
640.05	1545	143	3105
643.14	1628	120	3144
727.39	1658	139	3174
632.09	1630	95	3211
682.16	1699	147	3247
758.06	1718	129	3280
658.2	1713	110	3315
758.53	1759	128	3349
738.83	1751	132	3387
674	1797	127	3422
778.45	1849	124	3453
