Ave Lat	Max Lat	Min Lat	Cycle
67.51	79	64	86
82.39	105	64	114
94.73	116	64	138
111.97	139	77	162
124.31	154	92	190
141.68	180	99	213
155.98	193	117	240
171.24	207	125	262
184.56	217	131	289
198.28	236	132	312
213.68	263	146	338
228.28	277	160	364
240.1	299	171	388
255.24	309	191	416
271.53	325	202	438
284.95	343	201	465
298.56	364	209	488
312.55	382	224	514
327.27	397	238	538
341.64	419	258	562
355.77	444	274	590
370.8	459	275	613
386.5	484	297	640
402.57	499	312	662
414.99	527	325	689
432.65	528	339	712
445.84	542	354	738
464.01	565	372	764
476.92	580	382	788
493.1	595	412	816
507.77	624	421	838
522.52	638	436	865
539.1	660	445	888
551.5	674	461	914
568.62	688	485	938
582.05	716	489	962
594.57	728	514	990
610.82	751	528	1013
624.42	759	539	1040
641.92	777	548	1062
653.5	788	542	1089
673.26	814	541	1112
683.67	827	552	1138
