Ave Lat	Max Lat	Min Lat	Cycle
48.22	59	44	62
65.48	88	44	92
83.6	101	63	111
103.05	128	84	140
121.95	144	93	161
141.34	168	110	189
158.24	185	115	212
179.89	206	140	238
197.12	226	142	268
217.25	248	170	287
234.84	264	188	316
253.94	286	202	336
272.71	311	222	364
289.07	327	233	386
308.61	351	258	413
325.43	368	268	442
347.65	392	294	462
363.92	407	306	492
384.65	434	318	511
401.97	456	340	540
420.08	468	354	561
441.2	492	375	589
457.04	504	389	612
481.19	534	405	638
494.41	542	419	668
518.59	570	442	687
532.92	585	445	716
554.46	610	463	736
573.11	637	490	764
590.36	652	501	786
613.08	677	517	813
626.19	682	530	842
651.11	706	553	862
664.43	728	565	892
686.7	742	590	911
704.65	761	615	940
721.93	774	630	961
744.22	802	654	989
758.25	815	668	1012
783.46	842	681	1038
795.35	852	690	1068
821.1	882	719	1087
834.72	907	730	1116
