Ave Lat	Max Lat	Min Lat	Cycle
95.08	147	44	149
128.03	179	58	188
153.06	208	52	220
166.05	231	72	252
179.56	267	67	283
187.02	300	74	310
209.1	327	89	336
206.42	319	66	363
222.13	342	107	394
233.88	336	106	422
238.34	368	117	449
251.65	346	78	480
255.53	365	119	507
261.38	378	104	531
282.03	409	88	557
282.8	409	123	586
300.56	441	145	612
306.91	439	121	640
307.55	442	129	666
319.91	464	103	690
325.6	473	98	720
337.3	517	119	748
354.08	523	107	776
363.1	519	179	803
372.28	536	134	828
377.17	550	88	851
375.41	599	190	880
385.11	596	158	906
410.28	619	141	934
415.86	615	162	962
425.09	687	199	986
428.36	663	194	1012
436.81	693	160	1036
442.38	663	222	1064
461.56	693	167	1090
466.84	699	250	1118
474.16	753	230	1142
469.06	724	253	1170
470.85	691	275	1197
489.95	685	255	1224
519.35	746	273	1248
499.54	748	304	1276
518.62	757	281	1303
545.51	802	308	1334
546.82	834	290	1359
568.01	853	318	1383
559.46	877	358	1410
582.56	886	372	1440
598.8	917	283	1467
591.59	791	278	1496
593.57	855	290	1522
604.6	817	363	1548
630.63	894	428	1570
627.44	897	399	1597
643.68	894	352	1621
640.89	921	323	1650
664.28	939	346	1679
674.15	954	371	1710
682.83	887	385	1734
680.17	903	458	1763
698.89	967	439	1788
715.42	992	484	1812
725.16	982	376	1840
707.63	930	528	1865
721.13	964	506	1892
732.16	953	373	1916
755.81	1032	510	1944
765.98	1061	514	1977
767.91	1082	469	2003
773.7	1094	542	2029
774.22	1080	565	2053
786.71	1115	445	2078
803.79	1077	423	2105
809.9	1078	465	2133
816.77	1143	452	2160
818.82	1150	411	2187
842.8	1098	488	2209
861.81	1160	515	2240
850.4	1187	483	2267
855.12	1136	543	2296
860.66	1183	521	2320
884.41	1189	519	2345
893.67	1241	576	2375
873.37	1181	504	2403
921.03	1206	504	2429
924.18	1252	558	2457
919.31	1182	615	2484
933.72	1275	569	2512
928.6	1214	584	2539
943.86	1286	666	2564
989.19	1343	538	2592
948.55	1267	588	2617
968.28	1364	590	2649
1006.42	1372	671	2671
1008.89	1324	658	2699
959.26	1333	461	2722
1023.4	1403	528	2753
1005.74	1359	520	2781
1036.44	1371	432	2809
1044.69	1409	613	2838
1060.39	1379	602	2862
1037.92	1490	552	2888
1061.78	1506	538	2913
1089.36	1503	550	2937
1079.76	1530	477	2968
1078.82	1548	588	2995
1086.58	1594	493	3021
1127.41	1543	481	3048
1119.14	1636	701	3077
1131.41	1626	457	3102
1114.63	1644	545	3129
1148.94	1509	618	3154
1193.31	1635	459	3184
1163.46	1512	479	3213
1191.9	1513	897	3243
1172.11	1651	509	3267
1166.52	1768	598	3293
1218.98	1587	773	3321
1200.12	1747	567	3347
1209.94	1643	557	3371
1212.2	1830	448	3396
1250.5	1815	535	3422
1237.5	1669	585	3455
1264.78	1627	777	3480
1269.57	1864	512	3505
1259.24	1792	580	3532
1238.67	1634	541	3562
1256.87	1669	465	3590
1300.42	1853	583	3619
1337.87	1777	588	3640
1348.8	1889	446	3668
1357.65	1837	611	3696
1309.64	1906	500	3720
