Ave Lat	Max Lat	Min Lat	Cycle
97.2	116	84	123
125.88	146	104	151
144.44	166	116	176
165.23	190	131	203
184.31	215	147	228
202.06	229	167	253
221.74	258	177	277
240.22	268	203	303
257.88	297	219	328
276.4	309	241	353
293.52	333	251	379
312.71	362	274	403
330.85	375	290	428
349.23	399	305	452
367.07	406	327	478
385.66	425	344	503
404.14	447	350	528
423.38	466	377	552
440.39	486	391	577
459.25	506	405	604
479.26	523	423	628
496.66	542	442	653
516.23	566	463	677
533.12	588	472	703
552.58	604	495	728
571.67	630	513	753
589.45	649	531	779
609.66	672	546	803
627.61	687	571	828
647.59	713	584	852
664.84	724	601	878
684.82	751	624	903
702.08	770	644	928
720.33	790	647	952
738.87	817	658	977
755.64	830	679	1004
776.16	856	704	1028
790.3	855	704	1053
811.87	880	730	1077
827.61	894	744	1103
846.52	913	766	1128
865.43	937	780	1153
882.15	955	801	1179
902.92	969	814	1203
919.72	992	820	1228
939.92	1007	843	1252
955.21	1027	856	1278
976.23	1048	866	1303
993.6	1076	881	1328
1012.81	1086	898	1352
1030.33	1114	913	1377
1047.37	1126	941	1404
1068.71	1155	969	1428
1084.56	1168	980	1453
1105.96	1198	1005	1477
1121.16	1227	1018	1503
1140.74	1242	1046	1528
1158.99	1254	1055	1553
1176.58	1263	1074	1579
1195.54	1290	1092	1603
1211.86	1305	1095	1628
1233.04	1318	1113	1652
1247.3	1345	1126	1678
1269.35	1364	1140	1703
1285.89	1370	1155	1728
1306.36	1394	1182	1752
1323.43	1406	1195	1777
1340.87	1426	1223	1804
1362.35	1440	1243	1828
1378.44	1465	1257	1853
1400.76	1492	1287	1877
1415.09	1505	1295	1903
1435.13	1529	1322	1928
1452.45	1537	1335	1953
1470.28	1567	1351	1979
1490.44	1582	1376	2003
1506.48	1602	1389	2028
1528.71	1617	1417	2052
1542.94	1636	1425	2078
1564.89	1662	1450	2103
1580.9	1676	1452	2128
1601.6	1701	1460	2152
1615.83	1715	1471	2177
1634.17	1733	1492	2204
1655.72	1745	1505	2228
1668.68	1773	1514	2253
1692.63	1788	1535	2277
1706.15	1807	1545	2303
1728.23	1820	1568	2328
1745.07	1839	1580	2353
1765.05	1867	1605	2379
1783.39	1883	1632	2403
1798.68	1908	1646	2428
1822.64	1923	1673	2452
1836.05	1945	1682	2478
1859.14	1959	1709	2503
1874.43	1989	1722	2528
1898.22	2008	1752	2552
1912.26	2022	1762	2577
1931.87	2048	1787	2604
1952.53	2059	1811	2628
1966.58	2083	1820	2653
1990.42	2097	1843	2677
2004.19	2122	1856	2703
2026.54	2137	1876	2728
2041.41	2162	1886	2753
2060.56	2187	1903	2779
2079.41	2202	1922	2803
2095.94	2227	1920	2828
2117.5	2242	1938	2852
2132.09	2269	1953	2878
2153.14	2284	1975	2903
2167.92	2305	1975	2928
2189.96	2328	1989	2952
2202.66	2343	2003	2977
2225.08	2366	2032	3004
2245.87	2370	2060	3028
2260.47	2392	2075	3053
2282.93	2405	2102	3077
2298.46	2424	2115	3103
2316.17	2436	2130	3128
2335.14	2459	2138	3153
2352.15	2485	2156	3179
2373.23	2498	2176	3203
2388.87	2521	2187	3228
2410.98	2530	2204	3252
2426.11	2554	2205	3278
2448.59	2569	2215	3303
2464.72	2592	2229	3328
2485.58	2617	2257	3352
2500.04	2632	2272	3377
2518.71	2654	2300	3404
2542.38	2668	2308	3428
2555.26	2695	2323	3453
2578.09	2700	2342	3477
2593.58	2720	2356	3503
2610.95	2733	2373	3528
2631.28	2755	2375	3553
2646.15	2781	2405	3579
2669.4	2792	2419	3603
2681.32	2819	2430	3628
2706.54	2833	2447	3652
2721.44	2851	2457	3678
2741.6	2865	2487	3703
2759.17	2893	2499	3728
2778.4	2917	2527	3752
2793.92	2930	2539	3777
2811.75	2949	2561	3804
2835.39	2964	2587	3828
2847.11	2988	2599	3853
2868.51	3002	2619	3877
2884.19	3020	2628	3903
2901.42	3033	2648	3928
2922.43	3060	2660	3953
2938.46	3084	2689	3979
2960.59	3099	2717	4003
2974.33	3125	2722	4028
2996.78	3140	2744	4052
3014.56	3168	2759	4078
3033.42	3182	2789	4103
3052.24	3209	2803	4128
3070.79	3221	2831	4152
3087.33	3244	2832	4177
3105.61	3262	2855	4204
3127.76	3277	2882	4228
3140.98	3304	2892	4253
3163.65	3319	2922	4277
3181.01	3347	2936	4303
3195.64	3359	2962	4328
3219.53	3389	2977	4353
3233.53	3410	2995	4379
3255.81	3425	3013	4403
3269.94	3448	3028	4428
3291.28	3463	3056	4452
3308.9	3489	3061	4478
3327.55	3503	3077	4503
3348.83	3530	3091	4528
3366.9	3544	3116	4552
3383.6	3557	3123	4577
3402.77	3583	3140	4604
3424.74	3592	3168	4628
3440.76	3619	3179	4653
3460.01	3630	3203	4677
3478	3659	3216	4703
3492.41	3671	3236	4728
3516.31	3701	3239	4753
3531.53	3721	3264	4779
3553.23	3730	3291	4803
3569.63	3755	3306	4828
3589.29	3770	3336	4852
3607.97	3785	3337	4878
3626.37	3800	3353	4903
3647.26	3822	3368	4928
3663.68	3830	3395	4952
3679.08	3847	3409	4977
3700.08	3868	3425	5004
3720.24	3880	3446	5028
3737.77	3909	3461	5053
3757.77	3917	3485	5077
3775.29	3946	3496	5103
3791.57	3958	3520	5128
3813.79	3984	3531	5153
3830.14	4009	3555	5179
3851.43	4023	3571	5203
3868.3	4051	3583	5228
3887.3	4062	3600	5252
3903.79	4088	3610	5278
3923.15	4102	3632	5303
3941.4	4120	3647	5328
3960.67	4147	3670	5352
3975.89	4160	3679	5377
3995.86	4177	3695	5404
4015.04	4190	3725	5428
4031.62	4213	3739	5453
4051.94	4227	3766	5477
4069.52	4252	3781	5503
4085.28	4260	3790	5528
4107.06	4288	3805	5553
4123.32	4317	3833	5579
4144.6	4331	3853	5603
4160.26	4359	3868	5628
4179.82	4374	3895	5652
4198.79	4402	3902	5678
4218.48	4413	3927	5703
4238.18	4438	3937	5728
4257.71	4461	3952	5752
4273.13	4472	3966	5777
4292.84	4498	3988	5804
4314.36	4506	4015	5828
4330.25	4528	4030	5853
4349.73	4540	4057	5877
4365.71	4560	4060	5903
4380.82	4574	4086	5928
4403.1	4599	4098	5953
4420.14	4626	4128	5979
4440.19	4640	4157	6003
4457.23	4670	4168	6028
4476.93	4673	4193	6052
4494.74	4691	4208	6078
4513.37	4704	4231	6103
4532.89	4729	4236	6128
4550.94	4741	4257	6152
4566.26	4745	4269	6177
4584.42	4760	4297	6204
4606.14	4775	4315	6228
4622.01	4797	4328	6253
4642.33	4809	4357	6277
4659.34	4825	4369	6303
4675.1	4838	4397	6328
4697.62	4868	4410	6353
4712.75	4893	4431	6379
4734.64	4907	4443	6403
4750.79	4934	4453	6428
4769.76	4946	4474	6452
4786.6	4973	4489	6478
4805.27	4988	4517	6503
4825.27	5018	4532	6528
4843.81	5035	4558	6552
4860.06	5042	4571	6577
4877.05	5072	4598	6604
4900.17	5084	4626	6628
4915.03	5106	4640	6653
4935.24	5116	4660	6677
4952.16	5143	4673	6703
4969.23	5158	4688	6728
4991.19	5185	4700	6753
5006.72	5209	4715	6779
5028.93	5223	4736	6803
5043.54	5250	4734	6828
5066.45	5262	4760	6852
5082.56	5290	4773	6878
5102.65	5304	4799	6903
5121.07	5332	4814	6928
5140.59	5360	4841	6952
5156.66	5372	4853	6977
5174.53	5390	4874	7004
5197.13	5404	4900	7028
5212.42	5429	4915	7053
5233.84	5441	4944	7077
5248.87	5464	4958	7103
5265.32	5477	4984	7128
5287.93	5505	4998	7153
5303.76	5530	5015	7179
5325.54	5544	5034	7203
5341.15	5571	5049	7228
5362.66	5580	5076	7252
5377.33	5603	5089	7278
5397.17	5615	5118	7303
5416.29	5643	5129	7328
5435.92	5669	5146	7352
5450.47	5679	5160	7377
5470.18	5708	5187	7404
5490.73	5720	5206	7428
5507.86	5746	5212	7453
5526.04	5761	5230	7477
5542.4	5785	5243	7503
5556.81	5794	5256	7528
5581.23	5819	5270	7553
5596.27	5849	5298	7579
5615.51	5864	5321	7603
5632.01	5894	5329	7628
5651.73	5905	5353	7652
5668.88	5931	5361	7678
5687.94	5938	5382	7703
5708.21	5966	5394	7728
5727.12	5990	5419	7752
5742.34	6005	5432	7777
5760.71	6020	5461	7804
5782.04	6035	5491	7828
5799.04	6063	5504	7853
5817.75	6073	5532	7877
5836.27	6100	5547	7903
5852.02	6115	5567	7928
5876.81	6143	5579	7953
5889.29	6172	5605	7979
5913.08	6185	5630	8003
5927.73	6210	5644	8028
5948.89	6212	5660	8052
5966.47	6225	5673	8078
5983.45	6239	5701	8103
6004.08	6265	5716	8128
6022.96	6291	5739	8152
6039.8	6300	5751	8177
6056.36	6329	5780	8204
6079.3	6337	5799	8228
6096.13	6366	5810	8253
6114.93	6380	5838	8277
6134.53	6403	5853	8303
6149.72	6414	5876	8328
