Ave Lat	Max Lat	Min Lat	Cycle
47.95	59	44	67
60.45	84	44	95
71.46	96	44	121
86.29	124	44	145
96.77	137	48	172
110.93	163	54	194
121.3	185	57	221
131.72	192	66	246
144.7	214	79	270
156	229	94	296
168.91	255	82	320
175.44	245	90	348
188.46	261	95	369
200.69	281	99	396
210.68	295	87	419
225.39	312	105	446
232.28	323	85	471
251.39	343	89	495
257.72	350	104	521
273.19	359	116	545
284.7	383	131	572
297.82	394	144	594
312.36	408	164	621
322.45	425	179	646
338.94	443	204	670
348.02	452	197	696
363.34	476	218	720
374.47	490	230	748
388.83	508	221	769
401.86	512	233	796
414.72	531	233	819
427.85	553	245	846
437.34	561	247	871
451.02	586	268	895
461.03	601	287	921
474.46	607	293	945
486.69	619	312	972
500.34	642	325	994
515.19	660	354	1021
523.84	669	342	1046
539.97	676	368	1070
547.4	690	396	1096
