Ave Lat	Max Lat	Min Lat	Cycle
115.92	192	64	197
176.51	251	93	258
213.38	298	117	311
237.96	342	110	360
258.47	375	129	409
285.36	410	116	455
299.42	422	139	505
328.44	462	159	555
358.22	539	155	601
370.95	522	169	650
395.92	593	160	695
398.83	589	167	747
437.8	616	176	799
456.59	690	190	849
475.6	699	188	901
488.7	728	192	953
522.5	805	216	1004
553.78	848	144	1055
569.61	847	126	1109
572.1	880	108	1164
629.35	958	90	1219
632.03	997	93	1276
666.31	1042	92	1333
680.3	1052	89	1392
717.4	1158	72	1456
734.93	1194	68	1515
787.6	1179	70	1575
789.89	1347	67	1638
805.18	1316	103	1701
848.77	1323	93	1769
935.19	1448	102	1830
938.44	1506	104	1891
938.07	1441	77	1950
1011.38	1561	118	2018
962.23	1554	107	2080
1063.34	1680	128	2138
1052.9	1681	115	2201
1174.34	1751	94	2261
1105.7	1921	108	2326
1173.12	1939	130	2385
1196.42	1921	154	2450
1281.08	2079	215	2510
1232.92	2105	125	2573
1238.2	2038	148	2634
1296.48	2190	165	2697
1393.64	2190	167	2759
1387.11	2252	182	2812
1373.58	2345	170	2880
1475.35	2316	182	2937
1506.1	2391	164	2997
1516.45	2458	146	3057
1425.43	2469	162	3122
1587.49	2580	163	3187
1583.98	2528	178	3244
1656.16	2675	190	3305
1616.17	2732	209	3372
1606.83	2658	246	3445
1723.85	2814	268	3506
1661.59	2897	287	3569
1864.43	2995	190	3627
1790.03	3026	180	3686
1757.86	3078	152	3759
1793.52	3073	91	3814
2075.08	3228	89	3873
1751.95	3227	98	3943
1973.55	3232	64	4001
1993.06	3391	77	4058
2031.48	3408	106	4120
2111.53	3488	133	4184
2123.86	3512	133	4246
2112.3	3542	171	4304
2138.87	3452	155	4373
2231.33	3630	157	4437
2160.43	3673	168	4505
2139.15	3732	195	4567
2261.57	3854	221	4636
2284.76	3733	243	4696
2259.21	4005	253	4762
2361.84	3842	235	4830
2405.49	3935	251	4886
2374.89	3951	290	4956
2646.09	4043	307	5016
2339.07	3995	305	5079
2428.7	4158	291	5153
2461.72	4397	284	5223
2713.28	4308	300	5284
2639.85	4448	292	5347
2591.06	4548	293	5410
2721.46	4364	313	5471
2658.69	4451	344	5544
2691.36	4541	314	5612
2747.11	4538	314	5675
2657.09	4735	336	5737
2811.82	4827	348	5801
2906.21	4699	354	5867
2903.62	4768	363	5931
2957.14	4785	393	5987
3013.27	4970	374	6049
3094.54	5038	353	6114
3043.85	5030	343	6179
2960.79	5119	360	6239
2984.98	5115	363	6307
3060.54	5129	377	6377
3225.03	5337	432	6443
3271	5363	419	6498
3265.15	5460	438	6560
3233.11	5371	458	6629
3042.02	5383	484	6700
3401.3	5593	520	6765
3380.85	5731	485	6823
3610.66	5555	514	6882
3219.48	5621	484	6951
3397.66	5856	492	7018
3554.1	5894	510	7079
3612.02	5982	522	7138
3545.38	5864	536	7204
3481.18	5857	542	7271
3713.74	5935	542	7332
3667.48	6044	563	7396
3511.57	6003	605	7467
3743.12	6147	589	7533
3527.94	6445	545	7596
4029.17	6446	552	7664
3688.32	6523	547	7730
3994.96	6264	557	7794
3747.75	6654	548	7866
3910.36	6462	551	7922
4171.41	6721	559	7982
4108.92	6553	583	8045
4062.02	6839	595	8107
3916.81	6659	574	8171
4216.96	6960	588	8232
4207.64	6806	591	8300
4044.86	7062	637	8363
4243.32	6873	682	8425
4181.55	6926	666	8495
4279.19	7035	654	8557
4241.37	7021	666	8624
4253.75	7220	692	8689
4178.34	7394	724	8752
4443.77	7485	739	8819
4264.29	7282	735	8883
4627.59	7625	744	8940
4479.09	7323	760	9005
4430.29	7561	778	9078
4573.15	7798	742	9140
4708.98	7655	752	9206
4424.47	7679	767	9268
4593.82	7534	764	9336
4708.28	7829	776	9398
4918.21	8049	821	9465
4702.23	7910	844	9536
4762.39	8096	832	9591
4762.63	8025	789	9662
4707.55	8163	788	9728
4848.35	8101	810	9792
4897.81	8375	795	9852
4980.23	8463	799	9922
5028.27	8301	835	9986
5005.84	8516	873	10056
4871.49	8629	792	10117
5258.36	8466	789	10184
5739.84	8552	2055	10257
6072.4	8796	2060	10335
6631.24	8837	4171	10413
7023.19	8822	4561	10491
7368.25	9060	4515	10586
7860.56	9137	5980	10707
