Ave Lat	Max Lat	Min Lat	Cycle
99.03	146	44	148
138.98	177	76	184
164.44	213	106	214
185.36	243	106	248
205.05	261	119	277
224.07	285	132	306
239.19	295	170	331
252.44	323	143	356
272.87	349	176	382
287.15	376	208	414
303.47	390	214	446
325.16	421	219	470
330.43	446	226	498
347.16	428	259	521
363.92	435	270	550
377.07	476	288	578
394.59	499	294	607
413.95	512	309	633
431.96	539	322	659
448.65	537	316	687
462.52	568	355	712
476.96	584	363	737
494.81	625	328	761
514.48	645	349	788
522.44	649	349	812
523.56	645	367	844
540.74	664	372	869
562.41	740	375	894
589.13	726	450	921
603.48	692	479	944
611.94	710	490	972
626.48	747	454	997
641.8	761	487	1022
658.47	760	490	1049
672.8	790	513	1075
669.17	800	516	1105
704.99	853	535	1131
713.95	815	570	1158
723.88	828	560	1184
754.65	873	607	1214
763.13	878	610	1246
779.53	921	624	1277
803.54	928	638	1298
812.8	936	629	1324
838.5	991	634	1350
840.81	987	618	1379
858	970	717	1402
875.74	1031	723	1430
882.81	1038	659	1455
888.54	1047	690	1482
928.33	1085	750	1506
946.3	1144	758	1536
954.91	1101	801	1564
994.66	1139	814	1590
981.94	1137	775	1615
994.59	1158	776	1642
1019.99	1160	815	1666
1024.71	1185	807	1694
1041.86	1184	872	1721
1070.1	1285	805	1751
1064.32	1191	836	1778
1086.7	1233	953	1803
1107.88	1272	854	1833
1129.62	1255	895	1858
1143.97	1264	950	1889
1151.38	1309	959	1915
1162.38	1327	862	1943
1176.86	1359	959	1967
1202.95	1359	1036	1990
1206.76	1348	1016	2019
1225.09	1378	949	2045
1257.67	1392	1054	2070
1260.87	1419	977	2095
1270.11	1434	1000	2123
1286.33	1451	1110	2154
1307	1472	1039	2180
1302.27	1447	1112	2208
1335.36	1536	1033	2235
1354.88	1531	1079	2258
1356.98	1530	1157	2290
1380.72	1544	1130	2316
1389.35	1566	1046	2346
1413.22	1580	1200	2373
1432.17	1623	1092	2398
1436.88	1605	1191	2427
1453.52	1650	1125	2455
1474.31	1671	1123	2481
1482.98	1691	1255	2509
1508.3	1697	1189	2536
1538.74	1703	1318	2563
1532.33	1752	1216	2590
1564.18	1740	1240	2618
1562.79	1819	1249	2646
1595.3	1819	1302	2672
1616.75	1835	1309	2702
1621.5	1869	1310	2730
1637.88	1867	1358	2754
1660.48	1914	1351	2781
1667.14	1893	1442	2808
1679.32	1919	1380	2838
1699.83	1971	1421	2865
1717.23	1956	1414	2894
1738.43	1994	1475	2924
1769.81	2007	1526	2946
1770.07	1986	1428	2976
1778.48	2030	1428	3000
1801.1	2006	1449	3028
1817.98	2065	1489	3058
1823.63	2075	1492	3087
1845.7	2034	1540	3116
1868.12	2062	1552	3144
1867	2104	1559	3171
1894.41	2178	1566	3196
1927.07	2152	1673	3220
1932.12	2197	1631	3251
1933.42	2163	1642	3280
1956.58	2200	1660	3305
1988.15	2232	1736	3334
1979.82	2165	1652	3363
1993.23	2228	1659	3388
2006.36	2233	1690	3414
2055.73	2246	1754	3442
2054.13	2260	1716	3467
2082.12	2277	1737	3492
2081.57	2329	1722	3520
2080.89	2352	1757	3543
2093.52	2291	1760	3568
2131.22	2341	1844	3600
2136.6	2381	1797	3627
2173.12	2380	1846	3654
2160.28	2400	1829	3682
2193.98	2417	1838	3709
2204.46	2458	1835	3735
2218.91	2461	1826	3764
2246.82	2463	1943	3791
2264.59	2492	1926	3814
2289.16	2518	1910	3842
2278.42	2558	1909	3870
2293.49	2490	1933	3894
2321.38	2563	1957	3922
2340.03	2578	1981	3950
2326.39	2592	1929	3981
2384.05	2654	1991	4005
2373.45	2612	2049	4033
2394.56	2697	2007	4056
2435.91	2714	2027	4081
2412.15	2728	2063	4113
2421.4	2698	2031	4139
2474.02	2727	2078	4168
2480.46	2744	2074	4195
2476.31	2743	2087	4222
2503.76	2773	2080	4247
2505.75	2809	2025	4272
2552.92	2789	2207	4296
2539.09	2820	2100	4323
2567.66	2867	2113	4350
2588.86	2860	2132	4379
2577.27	2878	2145	4406
2600.25	2933	2139	4435
2619.93	2895	2164	4462
2649.3	2946	2261	4483
2653.26	2961	2184	4507
2678.91	2999	2192	4531
2706.47	2995	2302	4561
2696.05	3008	2256	4591
2701.82	3078	2245	4617
2732.68	3054	2263	4643
2746.08	3063	2327	4668
2766.28	3104	2282	4696
2765.31	3077	2364	4726
2787.24	3154	2304	4752
2829.32	3211	2430	4779
2839.26	3190	2357	4804
2828.45	3207	2374	4834
2851.15	3249	2372	4858
2874.14	3223	2379	4885
2893.97	3244	2427	4914
2907.91	3271	2571	4939
2942.91	3293	2492	4966
2960.99	3376	2481	4993
2919.92	3357	2452	5023
2959.37	3390	2510	5047
2965.86	3408	2498	5075
2993.01	3408	2539	5100
3007.67	3361	2528	5120
3043.58	3374	2556	5148
3046.74	3355	2577	5177
3070.43	3494	2623	5206
3073.38	3362	2496	5231
3055.78	3336	2629	5256
3106.86	3485	2590	5281
3093.89	3520	2579	5308
3122.84	3458	2612	5333
3144.64	3477	2576	5365
3165.67	3502	2634	5388
3155.8	3550	2638	5417
3187.45	3544	2790	5445
3187.61	3611	2707	5473
3217.11	3601	2785	5499
3239.24	3651	2747	5523
3262.75	3615	2733	5548
3212.31	3626	2754	5575
3297.32	3570	2837	5600
3288.67	3689	2778	5626
3335.24	3711	2854	5658
3335.44	3708	2896	5684
3357.68	3727	2819	5714
3369.41	3755	2922	5740
3366.46	3788	2938	5771
3393.68	3801	2911	5796
3400.28	3803	2910	5820
3418.72	3782	2979	5844
3411.55	3834	2972	5873
3424.26	3906	2973	5903
3463.16	3876	2950	5931
3497.74	3797	3012	5960
3525.04	3898	3065	5986
3508.74	3879	3062	6010
3548.23	3948	3046	6034
3544.38	3913	3060	6064
3545.93	3926	3095	6087
3585.89	4017	3114	6120
3587.67	3995	3097	6146
3619.92	4049	3139	6172
3626.48	4020	3151	6198
3642.98	4015	3186	6224
3643.58	3924	3190	6251
3665.29	4065	3203	6277
3674.15	4085	3230	6306
3677.08	3935	3279	6335
3726.96	4111	3252	6363
3712.84	4135	3265	6391
3736.27	4140	3352	6415
3753.95	4162	3330	6440
3790.25	4214	3330	6466
3814.32	4196	3318	6501
3827.37	4197	3369	6530
3820.58	4258	3424	6555
3848.4	4287	3392	6584
3848.07	4240	3414	6609
3863.34	4328	3395	6634
3893.82	4143	3457	6663
3888.78	4166	3474	6689
3936.59	4300	3447	6715
3936.12	4330	3532	6744
3966.77	4425	3560	6773
3972.25	4446	3488	6800
3956.5	4384	3541	6831
3989.3	4343	3570	6856
4027.57	4457	3568	6881
4042.74	4429	3663	6904
4047.31	4400	3547	6930
4078.29	4519	3563	6964
4074.49	4565	3599	6992
4102.49	4556	3626	7017
4112.08	4524	3626	7040
4152.43	4573	3663	7068
4123.3	4585	3671	7096
4181.36	4610	3696	7128
4160.53	4651	3676	7155
4190.2	4635	3704	7182
4186.89	4622	3705	7207
4232.4	4606	3708	7233
4263.75	4737	3769	7258
4270.24	4628	3801	7285
4249.9	4637	3760	7312
4291.79	4692	3836	7336
4306.58	4673	3809	7361
4279.13	4680	3791	7390
4313.09	4802	3819	7412
4346.25	4795	3834	7443
4345.57	4756	3845	7469
4380.52	4875	3843	7496
4407.58	4837	3888	7522
4377.49	4768	3900	7554
4430.95	4851	3908	7581
4432.45	4808	3912	7604
4451.61	4797	3949	7633
4507.4	4924	3965	7660
4499.86	4934	3935	7685
4466.02	4913	3997	7715
4520.25	4958	3986	7743
4536.27	4931	4046	7767
4561.8	4959	4052	7792
4595.78	5056	4063	7820
4544.38	5021	4046	7843
4599.66	5089	4054	7870
4626.69	5072	4096	7899
4632.97	5063	4067	7924
4636.14	5051	4061	7952
4666.53	5106	4121	7979
4689.36	5185	4202	8008
4717.29	5169	4136	8034
4691.89	5133	4138	8063
4728.22	5162	4203	8087
4765.91	5213	4184	8111
4758.73	5274	4245	8137
4765.93	5242	4189	8166
4786.44	5284	4189	8193
4774.7	5327	4231	8220
4790.95	5288	4229	8243
4830.95	5369	4317	8276
4865	5351	4372	8305
4883.17	5373	4378	8330
4895.4	5354	4297	8356
4895.4	5240	4216	8379
4843.84	5424	4326	8404
4904.43	5468	4265	8428
4945.85	5447	4425	8454
4937.14	5400	4289	8481
4954.22	5485	4336	8511
4928.68	5356	4353	8536
5006.2	5551	4392	8562
5007.52	5541	4341	8591
