Ave Lat	Max Lat	Min Lat	Cycle
83.19	149	44	242
100.52	181	44	369
114.58	221	44	490
115.85	242	49	615
119.05	259	44	733
117.75	246	44	858
117.32	252	44	986
113.81	237	44	1108
118.41	262	44	1226
119.88	241	45	1346
126.69	238	44	1447
111.4	200	44	1569
104.23	235	44	1709
96.78	175	44	1847
96.14	176	44	1967
101.07	160	48	2113
107.57	208	44	2227
108.76	213	44	2343
102.78	224	44	2474
111.31	205	44	2598
131.71	241	44	2733
139.87	246	44	2860
129.21	251	44	2975
112.55	271	47	3101
126.33	314	44	3221
116.42	279	44	3368
112.41	241	44	3505
116.02	244	44	3630
114.52	246	44	3760
114.71	261	44	3889
111.86	301	44	4006
106.49	202	44	4126
105.22	198	44	4249
104.79	200	44	4371
112.75	217	44	4507
117.98	260	44	4630
122.63	241	44	4748
123.87	269	44	4861
125.26	287	44	4993
120.52	216	44	5112
126.54	249	44	5243
128.44	219	44	5357
137.8	238	44	5480
136.31	297	55	5595
117.03	308	44	5718
118.43	289	44	5839
110.8	284	44	5969
103.78	244	44	6106
115.2	292	44	6246
118.66	266	44	6368
116.15	225	48	6497
109.69	228	44	6614
116.89	238	44	6744
119.49	260	44	6880
118.28	252	44	7004
122.04	295	46	7136
113.67	246	44	7252
111.31	218	44	7376
97.7	205	44	7512
101.63	185	44	7629
106.09	198	44	7760
103.05	206	44	7889
103.73	190	44	8019
110.51	211	44	8143
99.85	222	44	8278
94.41	173	44	8415
98.09	192	44	8553
103.41	192	44	8675
103.32	172	44	8811
104.03	197	44	8937
110.81	210	52	9066
104.46	203	44	9183
99.24	180	44	9312
115.3	232	44	9435
120.76	251	44	9563
123.04	264	44	9683
126.57	291	44	9812
139.27	370	44	9949
123.7	380	44	10064
