Ave Lat	Max Lat	Min Lat	Cycle
84.98	150	24	181
137.15	187	47	289
181.73	250	94	395
227.12	305	119	501
271.19	382	155	603
310.66	434	166	709
354.53	509	188	811
397.18	574	211	913
429.58	603	199	1018
472.56	675	240	1121
506.93	716	278	1226
549.04	801	345	1327
587.95	835	384	1430
634.29	893	433	1533
671.31	903	472	1638
711.92	940	446	1739
753.14	990	476	1845
794.7	1049	499	1947
836.18	1131	542	2052
880.61	1205	606	2155
926.25	1279	665	2257
968.14	1318	713	2359
1007.67	1352	765	2464
1050.03	1419	826	2568
1085.54	1451	851	2672
1118.88	1490	879	2774
1156.58	1549	932	2876
1191.92	1606	973	2981
1234.11	1660	1017	3083
1279.73	1685	1050	3185
1315.15	1716	1073	3291
1354.88	1766	1078	3393
1395.32	1798	1126	3499
1447.05	1881	1157	3601
1488.79	1924	1189	3704
1530.64	1929	1237	3808
1575.41	1971	1274	3910
1606.05	2028	1330	4016
1660.55	2103	1369	4118
1681.45	2178	1371	4219
1715.83	2258	1347	4325
1750.36	2320	1385	4427
1802.02	2387	1416	4529
1839.16	2460	1443	4634
1879.88	2532	1517	4737
1913.22	2581	1544	4839
1939.74	2636	1569	4945
1999.76	2707	1579	5046
2033.98	2767	1593	5152
2069.06	2844	1612	5254
2098.42	2928	1627	5359
2143.23	2963	1673	5462
2185.49	2987	1683	5563
2224.64	3031	1690	5665
2259.29	3040	1734	5771
2294.15	3029	1788	5875
2340.88	3105	1824	5979
2387.63	3113	1880	6081
2431.25	3189	1852	6183
2476.29	3235	1878	6288
2501.87	3283	1907	6390
2565.9	3354	1928	6493
2596.24	3419	1942	6598
2634.13	3503	1984	6699
2671.89	3569	2025	6806
2711.98	3626	2038	6907
2773.06	3673	2081	7011
2811.88	3719	2104	7115
2850.29	3777	2146	7217
2868.36	3853	2201	7323
2939.07	3907	2223	7425
2964.4	3952	2239	7526
3020.97	4009	2298	7632
3024.27	4082	2351	7734
3103.87	4121	2431	7839
3148.15	4175	2488	7941
3180.19	4218	2496	8043
3229.01	4260	2528	8148
3248.11	4297	2557	8251
3328.08	4345	2604	8353
3349.99	4398	2621	8459
3412.47	4428	2634	8561
3433.66	4482	2693	8665
3477.16	4544	2715	8769
3532.34	4571	2734	8870
3553.2	4618	2781	8973
3604.5	4687	2838	9078
3628.14	4725	2837	9181
3696.41	4783	2855	9285
3712.75	4827	2878	9387
3783.74	4888	2925	9489
3814.98	4919	2987	9595
3835.35	4974	3036	9697
3897.15	5017	3092	9802
3932.93	5055	3124	9905
3963.09	5134	3117	10006
4018.73	5181	3167	10116
