Ave Lat	Max Lat	Min Lat	Cycle
47.51	59	44	66
62.58	85	44	94
75.38	96	44	119
91.17	119	49	143
103.74	134	55	170
120.85	154	64	193
135.03	176	75	220
150.51	193	72	242
162.43	210	76	269
177.25	222	105	293
191.54	240	116	318
207.33	259	132	344
221	271	152	369
234.55	281	157	396
249.68	308	168	418
263.11	312	181	445
277.83	335	177	468
292.96	350	179	494
308.13	379	200	519
320.96	391	215	543
337.26	417	235	570
351.58	423	259	593
366.83	431	270	620
380.22	459	291	642
396.92	471	309	669
411.38	482	331	693
423.8	507	330	718
443.53	522	359	744
455.93	541	370	769
472.6	554	377	796
486.35	562	391	818
503.31	584	419	845
517.2	602	423	868
532.26	622	446	894
546.81	640	460	919
561.02	655	469	943
575.74	664	482	970
589.31	687	483	993
604.04	694	500	1020
617.79	721	513	1042
631.07	736	530	1069
647.05	750	544	1093
656.46	762	548	1118
