Ave Lat	Max Lat	Min Lat	Cycle
94.63	128	84	129
118.68	142	92	157
134.37	164	99	188
148.98	190	89	213
160.93	199	93	240
172.48	213	95	265
184.98	230	116	289
194.47	252	97	316
206.43	261	95	341
214.39	269	92	367
226.4	286	97	393
235.46	303	118	417
249.35	329	133	444
259.36	344	159	468
269.88	353	177	493
284.75	380	178	518
289.66	389	193	544
304.15	402	177	569
314.83	420	192	593
322.17	430	196	620
342.1	444	220	645
343.39	459	246	670
358.86	478	260	696
371.27	485	270	720
380.21	491	270	746
392.98	521	280	770
399.46	526	292	796
415.02	570	298	821
426.54	572	310	846
434.11	538	325	873
449.34	614	334	896
461.83	615	349	922
468.55	647	352	948
482.95	647	370	972
496.06	620	358	997
508.76	689	366	1023
520.1	700	334	1049
525.93	667	342	1073
547.8	747	322	1098
550.56	694	332	1124
559.62	737	345	1149
579.44	737	347	1174
578.63	719	363	1200
605.61	776	378	1225
602.68	778	347	1249
621.79	808	361	1276
634.2	823	374	1300
637.07	782	385	1325
661.11	862	414	1350
659.96	860	430	1376
677.66	855	434	1401
689.73	893	446	1425
699.16	822	458	1452
714.32	927	479	1476
717.21	924	489	1501
732.12	943	504	1528
741.83	958	521	1552
755.81	892	530	1577
765.81	993	544	1602
781.34	1007	553	1628
785.55	1033	563	1653
805.83	1048	589	1678
812.98	966	595	1704
822.52	1080	618	1728
842.82	1093	633	1753
847.42	1111	658	1778
862.91	1130	663	1804
872.23	1130	677	1829
883	1164	703	1855
900.05	1175	697	1880
897.3	1055	721	1904
933.87	1217	729	1929
927.06	1204	724	1956
934.44	1260	738	1981
963.89	1270	749	2005
956.84	1142	759	2031
989.92	1300	761	2056
981.34	1277	787	2080
1003.13	1329	771	2108
1018.15	1342	774	2132
1012.05	1200	787	2157
1041.71	1376	790	2181
1040.73	1359	802	2207
1053.68	1408	808	2233
1069.52	1423	820	2256
1073.41	1247	837	2284
1092.84	1468	840	2308
1092.71	1433	848	2333
1111.69	1511	870	2359
1128.31	1523	843	2383
1126.64	1321	830	2409
1144.72	1560	828	2433
1163.97	1573	842	2460
1168.2	1577	860	2484
1185.74	1586	868	2509
1192.98	1570	881	2535
1204.03	1631	885	2560
1216.85	1637	896	2585
1225.54	1648	918	2610
1247.07	1658	928	2636
1240.45	1656	933	2661
1259.22	1702	943	2686
1276.6	1702	957	2712
1269.42	1492	966	2736
1304.94	1747	979	2761
1304.61	1755	993	2786
1310.76	1761	1000	2812
1340.25	1773	1027	2837
1332.21	1547	1042	2863
1367.58	1825	1059	2888
1352.81	1809	1074	2912
