Ave Lat	Max Lat	Min Lat	Cycle
91.75	126	44	136
138.41	170	93	175
169.51	208	122	210
195.1	228	151	237
214.39	258	164	270
241.14	289	186	298
260.61	304	217	324
278.07	329	230	350
294.55	332	243	376
317.42	376	255	406
339.83	388	287	439
365.69	432	304	464
379.91	440	320	487
395.22	462	346	512
418.08	473	351	540
433.35	485	390	566
452.35	532	396	591
473.04	540	399	620
497.56	562	424	648
516.84	603	455	670
522.9	578	441	699
550.33	626	478	727
569.47	637	488	752
592.42	656	514	780
608.43	676	521	804
629.02	688	548	831
647.69	726	530	856
666.56	737	556	883
681.35	791	606	908
704.36	804	607	933
715.8	799	627	959
743.16	816	658	985
758.19	831	655	1015
774	854	666	1042
797.12	860	694	1069
818.98	891	719	1098
842.49	915	756	1125
859.39	939	711	1151
883.04	955	780	1178
893.55	990	744	1204
916.27	989	829	1231
941.84	1040	831	1256
952.9	1027	854	1280
981.54	1067	876	1312
999.13	1082	917	1339
1016.95	1111	895	1364
1035.16	1126	927	1392
1054.77	1149	927	1419
1067.29	1168	952	1445
1093.69	1182	959	1472
1117.08	1204	976	1500
1130.66	1238	1013	1527
1147.6	1243	978	1552
1174.28	1271	1024	1583
1193.8	1263	1105	1605
1203.71	1297	1095	1628
1225.22	1318	1078	1653
1239.58	1334	1070	1680
1267.82	1367	1159	1708
1284.92	1392	1157	1737
1300.75	1391	1158	1759
1312.05	1402	1174	1787
1333	1418	1204	1814
1357.34	1459	1212	1840
1371.62	1466	1202	1869
1392.2	1486	1272	1895
1417.65	1512	1258	1919
1439.03	1541	1301	1945
1455.22	1575	1301	1972
1464.47	1574	1345	2001
1491.44	1589	1337	2028
1514.12	1609	1383	2058
1541.24	1633	1408	2082
1550.82	1657	1398	2108
1569.13	1656	1406	2138
1596.59	1685	1433	2164
1613.16	1726	1473	2191
1623.71	1727	1492	2219
1659.28	1769	1489	2242
1661.54	1779	1551	2273
1692.65	1794	1534	2299
1714.95	1814	1587	2328
1728.85	1827	1595	2351
1743.53	1873	1583	2378
1768.23	1884	1633	2407
1785.05	1886	1613	2430
1814.19	1950	1660	2464
1820.98	1932	1662	2488
1848.44	1969	1733	2512
1852.23	1960	1698	2540
1889.92	2000	1728	2572
1908.95	2015	1770	2600
1923.68	2052	1774	2622
1950.89	2069	1788	2652
1967.39	2094	1829	2680
1984.25	2120	1874	2708
2004.28	2128	1833	2735
2021.31	2164	1866	2760
2034.76	2174	1860	2785
2064.78	2212	1901	2816
2088.85	2230	1975	2843
2103.9	2253	1946	2869
2118.42	2292	1976	2898
2153.47	2305	2003	2926
2165.97	2304	2019	2953
2182.36	2349	2019	2980
2201.89	2327	2038	3008
2228.5	2380	2058	3031
2236.67	2387	2079	3059
2260.65	2370	2135	3088
2298.94	2446	2117	3110
2297.67	2439	2152	3136
2325.93	2438	2186	3163
2333	2456	2144	3192
2368.71	2508	2181	3220
2377.84	2516	2214	3246
2404.63	2551	2210	3272
2418.26	2543	2236	3300
2450.55	2586	2247	3327
2467.54	2591	2294	3355
2483.42	2620	2284	3386
2496.83	2605	2317	3411
2527.41	2698	2360	3439
2539.77	2644	2358	3470
2565.98	2731	2358	3496
2586.38	2727	2385	3522
2601.75	2748	2397	3551
2618.92	2798	2419	3575
2630.09	2782	2448	3607
2676.68	2826	2431	3632
2689.11	2851	2517	3660
2711.18	2868	2496	3685
2716.86	2867	2510	3711
2743.47	2852	2503	3739
2769.02	2915	2527	3762
2786.74	2964	2620	3788
2802.99	2907	2636	3816
2820.16	2983	2590	3842
2840.12	3004	2684	3868
2856.89	3026	2663	3898
2873.75	3039	2638	3921
2888.95	3058	2724	3948
2911.5	3039	2679	3975
2918.8	3090	2749	4003
2953.6	3093	2795	4031
2971.64	3106	2796	4057.5
2997.43	3121	2815	4085
3009.62	3148	2800	4116
3031.44	3176	2833	4142
3049.43	3168	2841	4167
3061.49	3237	2880	4194
3083.05	3251	2867	4222
3111.98	3297.5	2935	4247
3140.32	3293	2891	4279
3143.05	3296	2949	4306
3164.74	3336	2973	4329
3172.76	3350	2930	4352
3204.26	3365	2987	4377
3217.26	3371	2981	4405
3234.62	3409	3054	4429
3265.14	3389	3041	4455
3280.48	3460	3015	4483
3299	3463	3087	4509
3310.44	3468	3099	4537
3334.2	3493	3149	4561.5
3348.32	3497	3123	4590
3374.89	3502	3221	4615
3392.7	3582	3168	4644
3420.89	3577	3168	4668
3426.95	3616	3190	4692
3458.44	3603	3223	4720
3471.35	3676	3267	4746
3483.54	3675	3270	4772.5
3497.55	3651	3301	4802
3541.27	3690.5	3350	4831
3530.93	3695	3335	4858
3576.15	3730	3364	4881
3591.47	3795	3372	4908
3607.91	3781	3418	4937
3630.82	3785.5	3374	4964
3629.66	3789	3399	4987
3657.4	3804	3446	5019
3704.16	3855	3490	5044
3716.27	3883	3513	5071
3718.7	3882	3505	5096
3736.72	3943	3508	5124
3757.57	3928	3548	5150
3775.6	3962	3576	5176
3805.78	3976	3567	5200
3813.61	3980	3598	5229
3843.7	4038	3640	5257
3868.91	4011	3720	5280
3891.46	4086	3655	5306
3880.7	4064	3664	5332
3916.74	4096	3684	5357
3924.14	4133	3703	5384
3958.49	4148	3713	5411
3970.15	4142	3778	5437
3989.29	4160	3764	5463
4015.99	4187	3808	5488
4026.29	4180	3809	5517
4070.09	4247	3860	5546
4059.39	4264	3836	5569
4085.43	4248	3882	5593
4118.32	4282	3902	5620
4117.23	4303	3891	5646
4138.85	4329	3918	5674
4144.5	4362	3929	5701
4173.71	4345	3962	5728
4197.82	4355	3983	5751
