Ave Lat	Max Lat	Min Lat	Cycle
67.35	79	64	91
78.08	104	64	116
88.94	126	64	144
100.36	144	64	168
108.39	150	64	193
117.44	155	71	218
125.88	175	64	243
135.18	194	64	269
145.47	218	64	293
146.91	221	64	320
161.52	244	66	344
165.25	256	64	369
179.19	270	77	394
188.35	283	67	419
200.45	297	79	445
206.91	321	85	468
214.75	324	84	495
225.9	346	105	519
233.41	361	113	545
250.96	369	80	569
255.02	372	88	594
267.16	377	97	619
275.4	388	122	643
283.46	408	134	670
293.03	401	145	694
300.27	424	155	720
313.1	444	110	744
317.86	458	99	769
330.88	460	112	794
340.75	474	131	819
349.59	497	133	845
358.75	506	144	868
365.33	512	148	895
377.09	528	147	919
383.22	513	166	945
400.53	528	181	969
406.5	538	204	994
419.3	553	200	1019
429.07	568	199	1043
438.63	570	192	1070
450.27	584	197	1094
455.88	593	211	1120
465.56	603	241	1144
