Ave Lat	Max Lat	Min Lat	Cycle
67.95	79	64	87
80.45	104	64	115
90.38	116	64	141
105.11	144	66	164
118.17	162	77	192
131.96	180	84	214
144.2	191	94	241
154.55	206	99	264
167.35	220	95	290
180.34	239	91	315
190.5	251	97	340
203.21	269	113	368
213.63	283	126	389
225.73	302	138	417
239.14	317	155	439
248.96	330	175	466
263.68	345	189	490
273.4	357	191	515
288.41	366	204	541
299.57	372	216	564
309.92	393	231	592
326.19	408	240	614
336.11	423	238	641
353.21	448	237	664
361.15	458	249	690
377.68	477	262	715
389.41	482	278	740
402.34	504	291	768
415.87	526	309	789
424.07	540	316	817
441.39	548	324	839
450.02	575	339	866
461.5	593	344	890
475.91	599	358	915
487.88	624	366	941
500.93	638	367	964
515.54	650	379	992
523.64	664	392	1014
539.69	686	395	1041
549.28	706	418	1064
561.69	721	431	1090
574.76	742	443	1115
