Ave Lat	Max Lat	Min Lat	Cycle
67.63	79	64	84
81.2	106	64	113
98	121	64	136
113.57	143	78	161
128.59	162	91	188
145.87	182	106	210
161.19	199	120	240
177.15	218	141	260
195.02	244	155	288
208.59	268	162	310
224.58	280	177	337
240.7	301	185	360
256.25	312	210	386
270.41	331	212	414
285.75	348	239	435
303.34	372	253	464
317.76	382	240	485
334.89	401	248	513
351.2	426	260	536
366.36	432	288	561
383.7	458	279	588
399.06	465	305	610
414.31	488	319	640
429.36	499	346	660
446.94	522	360	688
462.1	536	363	710
478.82	554	375	737
496.59	569	398	760
513.57	580	405	786
529.13	606	431	814
544.79	621	445	835
562.79	646	470	864
576.98	654	484	885
594.35	679	506	913
610.88	696	494	936
625.47	709	517	961
642.38	728	524	988
658.83	741	541	1010
672.74	766	539	1040
689.07	773	564	1060
708.88	801	587	1088
721.91	815	602	1110
737.61	839	625	1137
