Ave Lat	Max Lat	Min Lat	Cycle
95.38	135	44	138
138.26	172	104	175
167.5	204	127	209
187.4	225	115	240
213.33	264	168	268
236.77	278	190	300
260.93	314	188	330
279.49	325	179	357
293.82	350	198	384
315.8	369	233	412
335.34	397	243	440
355.9	416	268	466
368.64	431	276	492
391.23	462	308	522
406.44	484	332	548
432.71	494	339	578
451.41	531	374	608
468.7	559	388	635
489.86	553	402	658
505.08	578	411	684
524.89	626	439	711
538.66	620	444	735
566.67	649	495	764
578.09	669	490	787
597.84	694	511	813
618.78	711	505	844
637.42	736	531	869
647.07	765	559	893
675.04	771	590	921
688.44	802	572	948
700.98	805	591	973
718.67	819	628	997
742.51	845	648	1024
768.8	902	663	1053
777.35	924	692	1078
790.27	900	701	1108
820.51	925	707	1133
827.9	935	730	1158
847.12	932	734	1186
875.67	957	779	1217
888.27	1007	783	1244
914.24	1025	783	1272
927.24	1043	834	1298
954.28	1031	852	1326
966.09	1052	824	1353
987.51	1092	875	1380
1002.65	1109	891	1405
1013.79	1142	899	1431
1044.07	1182	918	1463
1063.82	1190	957	1492
1078.88	1177	974	1514
1106.52	1252	1011	1540
1110.38	1211	997	1563
1125.75	1258	1029	1593
1148.39	1269	1057	1619
1174.22	1280	1063	1646
1188.98	1296	1074	1670
1204.47	1321	1098	1698
1228.98	1352	1091	1723
1243.7	1358	1122	1752
1269.26	1393	1141	1780
1275.78	1397	1168	1807
1308.71	1421	1161	1833
1313.23	1420	1217	1862
1332.9	1493	1197	1887
1356.34	1486	1187	1914
1371.46	1512	1248	1941
1392.04	1513	1249	1966
1412.39	1551	1201	1992
1418.71	1575	1213	2018
1448.45	1609	1246	2045
1467.74	1579	1325	2072
1493.97	1603	1372	2101
1506.5	1627	1363	2126
1512.7	1667	1346	2152
1547.58	1676	1435	2177
1546.18	1676	1393	2205
1571.66	1707	1461	2231
1594.1	1711	1451	2258
1606.59	1738	1451	2284
1620.81	1726	1467	2311
1650.59	1752	1534	2337
1667.05	1832	1507	2361
1679.11	1792	1537	2388
1692.26	1825	1533	2414
1711.47	1844	1575	2441
1736.7	1865	1568	2468
1753.4	1895	1597	2489
1770.08	1923	1634	2520
1779.35	1935	1625	2546
1817.27	1976	1648	2573
1823.32	1972	1659	2601
1856.75	2014	1691	2632
1863.14	1994	1709	2657
1885.69	2049	1766	2682
1905.75	2084	1758	2708
1918.52	2084	1766	2734
1934.25	2103	1804	2758
1953.5	2146	1777	2785
1976.61	2138	1802	2814
1980.77	2153	1807	2839
2006.18	2199	1841	2869
2021.08	2152	1889	2896
2052.73	2204	1904	2919
2069.22	2236	1911	2948
2079.74	2255	1898	2978
2101.14	2267	1883	3002
2120.68	2296	1950	3025
2135.2	2308	1928	3050
2166.26	2349	1960	3083
2188.14	2359	2025	3109
2200.55	2367	2035	3137
2210.52	2415	2032	3166
2241.19	2391	2063	3190
2248.98	2459	2078	3217
2256.07	2476	2078	3241
2283.19	2453	2084	3269
2317.43	2470	2116	3300
2330.01	2509	2195	3323
2360.52	2526	2192	3348
2360.12	2548	2216	3376
2372.36	2593	2215	3406
2399.62	2547	2257	3429
2418.33	2629	2230	3456
2451.73	2659	2294	3485
2463.04	2661	2274	3513
2478.52	2685	2269	3542
2501.87	2708	2307	3568
2516	2727	2359	3597
2532.95	2760	2364	3622
2560.35	2775	2398	3653
2580.55	2735	2401	3682
2596.24	2829	2424	3707
2603.63	2829	2412	3735
2640.82	2847	2480	3760
2641.06	2772	2503	3786
2669.64	2881	2502	3812
2673.14	2844	2504	3838
2710.15	2897	2531	3869
2718.61	2933	2563	3895
2733.8	2961	2537	3921
2758.71	2987	2605	3945
2781.3	2994	2576	3975
2795.53	3034	2609	4004
2817.97	2990	2636	4032
2848.02	3053	2678	4052
2854.74	3052	2690	4082
2870.21	3131	2694	4108
2895.06	3077	2716	4134
2911.55	3051	2717	4162
2920.45	3061	2689	4184
2945.46	3153	2761	4211
2950.95	3147	2729	4240
2971.02	3135	2782	4268
3001.78	3228	2789	4292
3001.75	3229	2819	4320
3053.52	3287	2869	4349
3041.86	3300	2808	4376
3083.36	3297	2880	4404
3082.56	3234	2865	4427
3109.84	3346	2893	4451
3136.07	3365	2970	4479
3151.37	3367	2945	4505
3162.75	3385	2941	4530
3180.76	3415	2955	4556
3194.68	3478	2987	4579
3215.94	3445	3010	4607
3226.55	3491	3042	4632
3251.04	3484	3028	4658
3265.85	3524	3059	4686
3277.05	3509	3055	4707
3313.98	3565	3096	4737
3320.09	3558	3111	4761
3338.63	3600	3113	4790
3361.89	3610	3150	4814
3372.46	3526	3142	4837
3387.42	3625	3181	4867
3425.48	3670	3193	4896
3437.13	3684	3218	4916
3445.63	3584	3246	4948
3467.98	3589	3261	4975
3503.36	3751	3288	5001
3501.68	3763	3278	5024
3506.44	3682	3322	5052
3523.11	3761	3330	5076
3557.99	3829	3310	5107
3577.2	3860	3362	5135
3594.31	3853	3409	5166
3619.67	3863	3374	5192
3652.14	3858	3430	5214
3641.67	3883	3433	5239
3668.32	3872	3455	5267
3679.17	3853	3466	5290
3703.28	3920	3493	5318
3723.67	3957	3544	5347
3754.73	3993	3563	5373
3746.51	3968	3520	5400
3774.08	3983	3557	5425
3793.72	4010	3587	5451
3823.56	4057	3568	5479
3820.57	4096	3592	5508
3861.19	4096	3670	5536
3869.69	4087	3667	5566
3881.04	4118	3643	5592
3908.66	4132	3692	5618
3945.89	4114	3722	5645
3943.03	4204	3715	5677
3963.94	4222	3780	5703
3996.7	4211	3795	5728
4003.9	4177	3799	5756
4019	4303	3774	5786
4042.22	4267	3787	5811
4062.18	4263	3801	5840
4061.85	4270	3835	5866
4102.44	4352	3882	5891
4114.55	4362	3840	5916
4137.94	4392	3926	5944
4147.11	4366	3953	5970
4169.35	4372	3942	6000
4195.78	4432	3950	6029
4210.55	4446	3942	6052
4228.31	4448	3983	6076
4224.42	4463	3990	6109
4256.86	4491	4051	6132
4301.74	4510	4023	6160
4296.73	4518	4086	6184
4328.67	4532	4064	6209
4344.38	4607	4074	6237
4364.18	4600	4159	6263
4360.5	4602	4121	6287
4392.68	4625	4170	6316
4406.37	4647	4172	6339
