Ave Lat	Max Lat	Min Lat	Cycle
47.35	59	44	71
58.66	84	44	97
68.42	106	44	124
78.66	124	44	148
89.57	139	44	173
98.79	150	44	198
109.8	171	44	223
116.13	183	44	250
130.92	210	59	274
134.58	207	44	300
146.06	218	50	324
150.39	239	57	349
163.02	247	61	374
170.55	255	72	399
179.16	279	83	425
193.77	289	101	449
196.72	302	92	476
213.97	314	91	499
215.61	310	109	525
232.55	336	94	549
238.21	349	123	574
249.1	374	120	599
260.76	389	125	624
262.9	385	132	650
281.85	386	144	674
283.26	403	154	700
299.74	428	169	724
301.15	438	196	749
311.11	443	183	774
321.64	453	185	799
325.9	467	187	825
344.31	473	197	849
344.05	496	193	876
362.35	510	208	899
362.93	525	213	925
378.43	552	226	949
383.23	567	218	974
393.34	587	197	999
408.56	592	208	1024
409.1	602	218	1050
432.72	605	230	1074
433.56	612	237	1100
