Ave Lat	Max Lat	Min Lat	Cycle
47.09	72	44	86
51.36	83	44	120
58.33	97	44	154
62.27	106	44	188
66.4	118	44	218
69.38	126	44	250
67.71	139	44	281
69.84	142	44	312
67.66	136	44	344
66.96	139	44	373
67.32	136	44	402
69.27	156	44	432
71.02	164	44	462
71.8	164	44	498
70.99	173	44	529
68.97	159	44	564
68.13	165	44	596
67.88	146	44	628
66.44	137	44	660
67.51	152	44	691
68.89	148	44	724
68.12	165	44	752
70.42	165	44	784
75.32	177	44	816
74.15	199	44	847
76.26	214	44	879
74.5	219	44	912
72.56	204	44	945
71.58	151	44	977
71.01	161	44	1008
68.19	164	44	1042
