Ave Lat	Max Lat	Min Lat	Cycle
68.24	79	64	83
85.03	104	70	112
103.48	121	80	133
121.09	147	91	160
138.66	162	105	183
155.91	188	123	209
174.84	200	145	234
193.75	228	161	258
211.64	244	176	288
228.95	259	189	308
246.78	277	209	336
264.26	292	215	358
281.71	319	230	385
300.98	334	246	409
317.36	364	267	434
336.06	377	288	464
354.19	405	298	483
372.63	418	312	512
390.37	435	324	533
409.28	456	351	560
426.87	472	365	583
444.92	495	391	609
462.89	515	409	634
481.27	536	408	658
500.32	551	436	688
517.35	581	449	708
536.63	599	474	736
552.68	612	483	758
571.56	636	500	785
590.94	658	529	809
606.52	675	535	834
628.18	700	562	864
643.6	715	577	883
665.22	743	596	912
681.85	758	607	933
702.01	786	634	960
718.33	802	644	983
736.06	814	659	1009
755.35	833	674	1034
772.31	853	702	1058
791.49	866	729	1088
807.17	890	736	1108
827.15	908	756	1136
