Ave Lat	Max Lat	Min Lat	Cycle
102.83	196	44	202
129.1	229	44	277
142.1	284	44	336
144.57	302	44	394
125.27	234	44	454
145.75	284	46	520
144.83	291	52	570
143.47	276	44	645
137.57	291	44	709
147.44	329	44	771
138.12	318	44	824
144.09	269	44	885
143.94	272	44	953
138.6	295	44	1017
135.88	288	44	1091
143.27	282	44	1153
149.25	285	44	1208
128.44	284	44	1266
134.01	264	44	1331
139.72	268	48	1400
143.78	264	44	1457
135.94	287	44	1519
133.87	289	44	1577
143.03	268	44	1644
142.45	268	44	1706
135.23	287	44	1772
137.16	245	44	1831
142.76	315	44	1895
147.13	271	44	1960
143.56	300	44	2019
134.41	306	44	2077
130.66	304	44	2140
142.74	270	44	2206
141.12	269	44	2278
140.81	291	44	2335
127.56	266	44	2405
141.79	256	44	2461
132.26	269	44	2525
132.41	304	44	2583
142.84	317	53	2649
138.09	301	44	2712
142.91	271	48	2775
136.9	275	44	2830
129.19	288	44	2904
134.24	292	44	2965
138.29	278	44	3036
149.89	290	47	3098
136.9	267	44	3155
136.06	294	44	3221
133.8	257	44	3272
137.91	247	44	3330
139.05	294	44	3389
127.51	233	44	3453
135.94	268	44	3515
133.78	264	44	3573
142.63	301	44	3639
149.53	283	44	3701
140.53	286	44	3767
140.02	289	44	3827
135.69	304	44	3889
137.04	258	44	3952
148.02	300	44	4004
153.58	288	44	4064
136.62	256	44	4129
141.22	275	44	4184
148.02	270	44	4236
148.92	272	44	4290
140	252	44	4353
137.22	281	44	4409
141.62	284	44	4467
146.03	293	44	4524
137.85	307	44	4584
139.6	279	44	4636
139.84	259	48	4699
141.88	274	44	4757
130.07	308	44	4819
133.39	268	44	4878
132.99	274	44	4953
135.51	264	44	5019
145.43	272	44	5083
149.13	315	44	5143
142.31	307	44	5209
135.26	307	44	5264
137.93	289	44	5323
139.86	311	44	5387
140.39	292	44	5459
144.21	291	44	5527
139.63	275	44	5588
142.88	247	64	5641
153.3	284	44	5700
152.79	310	44	5757
132.96	291	44	5824
128.85	259	44	5877
139.7	292	44	5944
142.37	264	44	6007
136.76	267	44	6063
139.56	252	44	6124
131.2	281	44	6181
143.74	274	44	6244
136.69	269	44	6296
150.78	283	44	6362
143.6	294	44	6419
139.65	276	48	6488
143.69	292	46	6564
139.49	264	44	6625
137.82	302	44	6679
137.7	322	44	6754
142.68	296	44	6825
139.84	285	44	6894
135.26	282	44	6957
149.71	312	52	7016
139.27	259	44	7076
149.88	304	44	7128
140.19	328	44	7195
138.22	288	47	7259
145.49	293	61	7328
144.6	313	44	7389
137.66	288	44	7445
137.79	285	44	7505
136.19	320	44	7569
140.63	267	44	7625
140.67	303	44	7690
128.4	285	44	7752
138.88	282	44	7813
149.02	276	44	7871
141.89	266	44	7949
141.14	291	44	8017
136.55	313	44	8078
144.08	297	44	8138
149.21	275	44	8209
136.56	289	44	8264
137.7	282	44	8319
133.69	276	44	8392
138.74	248	44	8443
136	294	44	8511
147.53	284	47	8575
136.1	280	44	8648
141.67	269	64	8705
140.46	272	44	8773
138.55	301	44	8848
133.22	273	44	8912
145.72	303	44	8979
148.88	284	44	9046
139.75	283	44	9106
144.5	258	44	9172
137.92	264	44	9229
148.29	283	50	9310
146.13	284	44	9363
147.39	303	44	9441
140.97	304	44	9501
150.05	268	44	9557
132.59	287	44	9624
137.1	269	44	9683
140.93	271	44	9745
130.94	276	44	9805
142.67	264	44	9864
143.02	305	55	9916
137.51	258	44	9976
145.18	281	44	10044
164.96	304	64	10125
