Ave Lat	Max Lat	Min Lat	Cycle
96.69	128	84	132
116.61	149	85	164
130.01	173	86	193
144.94	192	85	222
152.48	204	94	250
162.73	221	99	278
171.69	229	95	304
180.06	246	113	333
188.18	257	103	358
191.74	269	105	384
204.79	293	103	409
210.49	303	104	435
218.94	317	112	461
224.6	326	97	486
233.51	336	114	512
240.02	355	126	537
249.6	369	100	563
255.6	367	124	589
262.31	374	114	614
273.28	389	100	640
276.18	398	115	666
287.76	389	122	692
291.41	421	130	717
299.28	416	121	742
308.85	438	141	768
313.96	463	156	794
330.07	457	167	820
327.93	480	178	846
340.88	494	166	870
344.61	504	176	898
348.77	516	172	924
366.78	538	184	950
371.74	565	166	974
377.82	575	150	1000
392.51	590	144	1026
390.6	597	150	1053
398.33	583	150	1078
408.28	597	164	1104
411.14	612	178	1132
438.21	657	196	1156
428.69	683	202	1181
434.56	644	224	1206
448.96	700	236	1232
444.78	749	240	1258
465.89	650	255	1284
461.23	759	257	1310
470.27	674	263	1335
479.37	708	285	1362
489.25	806	297	1388
496.82	702	307	1414
505.31	715	262	1440
508.4	867	244	1464
524.31	807	249	1491
515.43	711	274	1517
532.71	770	291	1542
546.82	880	281	1568
547.97	823	296	1594
566.82	784	320	1620
568.39	911	309	1646
579.08	894	317	1671
583.23	841	319	1698
579.38	854	321	1725
599.25	994	336	1750
620.96	956	341	1776
610.08	931	344	1801
627.95	1062	350	1828
631.88	1055	358	1854
638.42	1004	368	1878
650.33	1004	376	1906
636.58	1000	356	1933
677.51	1154	352	1958
669.28	1068	365	1984
667.08	1096	392	2010
693.63	1228	409	2036
682.05	1246	421	2062
704.84	1168	418	2087
703.97	1172	419	2115
708.94	1293	429	2141
727.77	1330	442	2166
738.77	1304	440	2192
721.35	1264	438	2218
744.03	1113	453	2244
750.11	1415	467	2270
764.92	1427	481	2295
757.87	1341	494	2323
769.56	1463	506	2349
786.86	1512	502	2374
793.35	1426	525	2400
778.54	1393	534	2426
800.8	1262	522	2452
809.67	1589	521	2478
817.1	1579	516	2504
819.65	1471	520	2531
831.67	1587	534	2557
842.27	1641	550	2582
853.12	1592	565	2608
828.63	1306	577	2636
874.45	1550	585	2660
868.82	1708	586	2688
878.49	1728	590	2712
894.79	1566	611	2739
883.51	1414	615	2765
916.7	1795	613	2790
912.24	1787	634	2816
906.24	1581	626	2844
927.54	1654	615	2870
926.57	1856	619	2895
932.04	1799	622	2920
963.24	1712	623	2947
935.36	1519	615	2974
969.72	1830	602	2998
982.35	1880	610	3024
969.28	1786	614	3052
979.81	1769	617	3078
982.09	1951	630	3104
1009.35	1955	644	3128
1022.73	1841	647	3156
988.21	1641	615	3182
1027.54	1928	577	3206
1044.4	2028	582	3232
1036.43	1922	597	3260
1041.46	1922	620	3286
1045.02	2101	633	3312
1050.42	2070	651	3337
1070.07	1985	664	3363
1033.96	1992	647	3390
1094.36	2059	649	3414
1098.74	2117	676	3442
1101.76	2081	684	3468
1092.2	2095	696	3494
1100.27	1810	709	3520
1130.88	2199	694	3544
1144.2	2191	702	3571
1104.77	2165	715	3598
1154.72	2204	725	3622
1172.38	2277	752	3648
1166.39	2217	763	3676
1142.77	1928	783	3702
1177.04	2234	783	3728
1186.17	2352	796	3753
1208.43	2326	807	3780
1183.8	2311	819	3806
1214.41	2356	818	3831
1237.71	2407	837	3858
1222.87	2391	847	3884
1209.14	2350	861	3910
1255	2425	854	3936
1244.31	2480	856	3962
1260.25	2498	818	3988
1256.03	2482	823	4014
1256.57	2122	847	4039
1311.78	2583	856	4066
1278.3	2544	853	4093
1284.14	2517	866	4118
1292.28	2568	853	4144
1302.79	2633	879	4170
1332.02	2641	885	4196
1341.84	2645	852	4222
1306.61	2169	858	4248
1369.67	2674	868	4274
1358.42	2726	871	4300
1359.18	2724	900	4326
1363.3	2730	902	4352
1349.61	2804	885	4378
1413.2	2816	901	4404
1375.28	2796	903	4430
1373.85	2800	909	4456
1438	2841	923	4482
1422.01	2903	935	4509
1444.66	2853	957	4534
1418.53	2877	968	4560
1417.03	2427	972	4586
1464	2985	995	4612
1473.9	2964	982	4638
1437.53	2926	999	4664
1512.4	2989	999	4690
1482.01	3046	1000	4717
1514.97	2995	1019	4742
1479.01	3018	1033	4768
1493	2537	1049	4794
1555.85	3119	1055	4820
1513.04	3117	1065	4846
1527.59	3088	1059	4872
1559.25	3151	1056	4899
1581.42	3201	1051	4925
1557.67	3161	1016	4950
1537.83	2512	1026	4977
1575.12	3187	1027	5004
1591.53	3280	1048	5028
1579.52	3292	1029	5054
1612.47	3254	1042	5080
1597.76	2651	1046	5107
1633.78	3350	1057	5133
1637.5	3325	1055	5158
1615.81	3274	1054	5186
1632.36	3357	1041	5212
1651.24	3400	1049	5237
1644.56	3402	1059	5264
1688.15	3414	1085	5288
1650.37	2806	1073	5316
1693.93	3392	1098	5341
1675.33	3477	1112	5366
1717.82	3469	1088	5392
1680.59	3493	1089	5420
1709.47	3537	1104	5446
1718.82	3505	1111	5472
1738.66	3567	1127	5496
1722.01	3557	1124	5524
1741.37	3512	1139	5549
1768.53	3577	1161	5574
1782.86	3590	1137	5600
1752.47	3586	1148	5628
1740.55	2989	1150	5654
1829.62	3655	1157	5680
1785.84	3651	1172	5704
1780.35	3633	1180	5732
1827.99	3665	1175	5757
1836.1	3740	1189	5782
1859.28	3675	1194	5808
1799.94	3699	1211	5836
1814.16	3110	1225	5862
1853.31	3794	1227	5888
1872.36	3785	1240	5912
1839.18	3784	1231	5940
1900.04	3777	1260	5965
1880.37	3859	1281	5990
1902.33	3865	1286	6016
1838.32	3200	1301	6045
1897.74	3885	1327	6070
1911.16	3898	1342	6096
1889.57	3885	1351	6121
1954.29	3949	1325	6148
1925.33	3934	1340	6174
1940.1	3971	1361	6198
1962.26	4008	1347	6226
1918.75	3986	1351	6253
1964.03	4039	1371	6278
1962.05	4065	1373	6304
1969.51	4060	1382	6329
2031.02	4114	1368	6356
1960.65	3377	1392	6382
2029.2	4140	1399	6407
2011.55	4121	1384	6434
2001.55	4192	1389	6461
2017.68	4193	1400	6486
2016.71	4216	1412	6512
2045.08	4214	1422	6537
2087.71	4261	1436	6564
1990.77	3462	1437	6590
2096.76	4252	1453	6615
2081.71	4291	1463	6642
2087.58	4273	1460	6669
2056.81	4298	1421	6694
2083.13	4379	1427	6720
2089.96	4378	1438	6746
2133.94	4348	1438	6772
2063.14	4353	1441	6800
2151.41	4378	1452	6823
2158.04	4461	1461	6850
2157.17	4403	1464	6877
2118.76	4425	1473	6902
2116.69	3661	1469	6928
2175.36	4516	1476	6954
2196.89	4521	1490	6980
2136.23	4463	1482	7007
2218.98	4542	1472	7031
2216.92	4601	1487	7058
2215.66	4544	1505	7084
2146.43	3780	1486	7110
2219.95	4560	1484	7136
2214.33	4671	1504	7162
2236.68	4684	1511	7188
2215.1	4621	1526	7216
2273.12	4691	1514	7240
2283.76	4743	1486	7266
2270.13	4701	1483	7293
2204.36	3877	1503	7318
2294.85	4725	1493	7344
2277.12	4815	1501	7370
2275.38	4833	1486	7397
2326.11	4767	1489	7422
2286.15	4018	1511	7448
2372.19	4901	1504	7474
2316.94	4874	1512	7501
2325.34	4786	1511	7526
2336.32	4865	1511	7554
2345.31	4958	1501	7580
2365.62	4973	1516	7604
2391.88	4916	1518	7630
2336.15	4091	1538	7656
2433.32	4963	1553	7684
2412.78	5058	1549	7709
2386.5	4984	1563	7734
2422.16	5018	1567	7761
2377.86	5092	1590	7788
2454.85	5105	1614	7812
2445.43	5088	1629	7838
2409.23	5086	1651	7865
2483.81	5139	1656	7891
2449.34	5192	1644	7917
2523.19	5157	1658	7942
2456.65	5187	1651	7970
2414.09	4302	1680	7996
2514.18	5262	1697	8022
2533.11	5269	1711	8048
2455.98	5237	1709	8073
2573.98	5281	1690	8099
2533.4	5342	1702	8125
2539.87	5311	1698	8150
2531.8	5342	1679	8178
2471.73	4420	1695	8205
2591.76	5418	1699	8228
2552.95	5419	1703	8256
2551.71	5393	1727	8281
2635.29	5445	1740	8308
2595.56	5498	1753	8333
2616.72	5472	1777	8358
2530.77	4435	1774	8386
2607.25	5504	1784	8412
2596.62	5568	1792	8438
2621.33	5568	1801	8464
2637.71	5568	1816	8490
2644.47	4612	1797	8516
2648.66	5651	1812	8541
2667.47	5649	1834	8566
2645.23	5587	1848	8594
2669.08	5655	1840	8621
2666.6	5710	1860	8646
2662.76	5682	1866	8672
2750.86	5712	1870	8696
2646.54	4706	1875	8724
2773.74	5756	1883	8750
2700.67	5752	1895	8775
2735.63	5793	1906	8802
2692.55	5808	1907	8829
2732.28	5832	1899	8854
2763	5849	1914	8880
2754.77	5851	1923	8905
2740.85	5864	1937	8932
2777.95	5866	1933	8958
2789.12	5923	1933	8983
2809.61	5936	1926	9010
2767.32	5964	1952	9037
2747.33	5054	1968	9062
2851.02	5999	1980	9088
2815.47	5976	1989	9113
2757.36	5980	1985	9140
2867.2	5997	1996	9166
2843.43	6085	2007	9191
2902.15	6039	2020	9218
2785.39	6070	2019	9245
2833.7	5234	2021	9270
2892.84	6124	2036	9296
2920.82	6137	2051	9322
2822.15	6130	2053	9348
2949.23	6116	2071	9374
2931.76	6212	2101	9398
2937.42	6199	2110	9426
2840.93	5297	2115	9453
2925.22	6192	2130	9478
2952.03	6288	2135	9504
2926.2	6259	2147	9530
2971.11	6254	2140	9556
2981.11	6301	2142	9582
3039.33	6342	2162	9607
2982.84	6310	2184	9634
2914.68	6272	2164	9661
3020.24	6339	2174	9686
2969.49	6427	2167	9712
3006.36	6425	2174	9738
3045.4	6407	2181	9764
3008.07	5508	2202	9791
3094.14	6508	2208	9816
3035.78	6503	2218	9842
3040.36	6477	2227	9869
3054.74	6487	2252	9894
3055.97	6598	2273	9920
3060.23	6591	2286	9948
3177.22	6548	2294	9972
3010.93	5464	2302	10000
3138.27	6564	2316	10024
3144.53	6665	2313	10050
3103.33	6618	2327	10077
3108.14	6642	2337	10102
3118.94	6714	2337	10130
3121	6705	2354	10154
3210.95	6708	2366	10189
