Ave Lat	Max Lat	Min Lat	Cycle
97.37	124	84	125
123.51	144	94	152
142.98	168	116	180
161.04	188	124	206
178.35	203	142	230
197.4	232	146	257
213.74	254	161	281
231.56	267	169	308
247.32	284	183	333
264.34	303	194	358
282.57	325	222	384
299.54	345	236	409
317.27	383	246	435
332.41	382	272	460
351.87	415	275	485
366.53	416	287	510
383.96	446	296	534
401.33	457	323	561
416.79	479	338	585
437.6	497	360	611
450.65	517	385	637
471.88	535	395	661
484.38	562	420	686
501.97	573	440	712
522.29	607	460	738
541.11	624	466	762
558.65	637	476	789
577.36	678	506	813
591.73	674	515	838
609.77	714	539	864
627.22	725	547	888
642.06	718	559	915
665.17	780	577	938
677.35	764	592	965
692.82	823	612	990
712.76	837	624	1014
726.63	817	643	1040
746.12	878	660	1065
760.72	884	676	1091
779.96	923	694	1116
797.9	930	705	1141
810.32	909	720	1166
830.4	969	737	1190
846.11	983	750	1216
861.36	1024	764	1241
879.87	1026	792	1267
894.75	1010	805	1292
914.27	1071	822	1317
929.36	1084	832	1342
942.25	1062	841	1368
965.79	1135	865	1393
977.46	1099	887	1417
996.21	1162	900	1444
1014.47	1170	910	1468
1026.02	1141	932	1493
1050.36	1207	950	1518
1058.36	1162	968	1544
1075.4	1241	985	1570
1098.16	1256	999	1593
1108.31	1210	1026	1620
1133.24	1310	1041	1644
1141.98	1252	1053	1669
1162.52	1353	1066	1695
1180.65	1367	1078	1720
1190.91	1307	1096	1746
1220.17	1418	1109	1769
1228.14	1364	1127	1796
1247.19	1438	1145	1821
1268.25	1452	1155	1845
1280.8	1397	1174	1872
1298.85	1494	1185	1896
1315.16	1507	1210	1922
1334.77	1541	1235	1947
1350.5	1552	1250	1972
1363.4	1496	1269	1998
1384.58	1597	1270	2022
1399.74	1611	1298	2048
1416.41	1651	1313	2073
1433.42	1660	1328	2098
1452.57	1601	1347	2124
1468.79	1696	1360	2149
1487.66	1709	1375	2174
1500.44	1631	1402	2198
1527.41	1754	1414	2224
1537.26	1671	1441	2249
1556.31	1790	1444	2275
1576.59	1801	1456	2300
1584.2	1731	1481	2325
1612.87	1853	1489	2350
1618.52	1762	1509	2374
1637.85	1879	1526	2401
1664.36	1886	1549	2425
1671.94	1808	1560	2452
1701.64	1942	1585	2476
1705.29	1851	1593	2501
1723.24	1984	1619	2527
1748.83	1998	1630	2550
1752	1881	1654	2577
1782.4	2036	1671	2601
1789.03	2051	1682	2628
1807.97	2096	1692	2653
1829.66	2110	1718	2677
1837.42	1969	1719	2703
1861.65	2135	1729	2728
1874.14	2149	1755	2753
1895.41	2187	1767	2778
1910.63	2194	1788	2804
1919.35	2066	1791	2829
1940.02	2236	1800	2854
1957.3	2241	1821	2879
1966.55	2116	1836	2904
1995.78	2296	1859	2930
2009.25	2178	1872	2955
2023.46	2324	1898	2981
2044.72	2334	1911	3005
2052.63	2229	1934	3030
2084.11	2380	1957	3055
2089.05	2270	1969	3080
2108.48	2423	1996	3107
2138.06	2429	2009	3131
2137.73	2332	2026	3157
2170.01	2473	2038	3181
2176.26	2378	2067	3206
2192.86	2507	2077	3233
2219.48	2520	2103	3256
2222.1	2417	2117	3283
2257.33	2570	2130	3307
2257.71	2467	2152	3333
2276.8	2594	2148	3358
2304.55	2597	2154	3382
2305.13	2508	2177	3409
2337.79	2643	2191	3433
2344.49	2658	2216	3459
2363.22	2698	2228	3484
2384.26	2709	2242	3509
2389.57	2570	2266	3535
2416.82	2750	2273	3560
2430.61	2757	2288	3585
2449.55	2795	2302	3609
2468.39	2808	2321	3635
2474.95	2652	2336	3661
2501.33	2842	2361	3685
2516	2846	2371	3711
2528.53	2721	2398	3736
2554.75	2892	2400	3761
2566.95	2800	2415	3786
2575.75	2932	2427	3812
2605.04	2946	2456	3837
2607.98	2821	2482	3862
2639.88	2996	2487	3887
2646.21	2885	2506	3912
2659.25	3036	2518	3938
2699.06	3050	2525	3962
