Ave Lat	Max Lat	Min Lat	Cycle
123.04	224	64	237
168.35	282	64	313
187.21	328	64	384
188	328	64	451
197.95	339	64	519
193.77	341	68	578
217.2	385	72	635
213.26	394	64	698
205.99	415	68	765
201	431	64	830
210.38	435	67	894
236.11	436	64	966
225.02	429	68	1029
226.32	428	64	1101
221.83	431	64	1162
231.8	486	64	1228
236.24	483	65	1299
231.04	495	72	1356
233.16	475	64	1424
242.36	494	64	1489
236.63	459	64	1556
262.3	482	64	1626
254.49	511	64	1703
254.11	496	68	1767
254.88	573	64	1833
271.01	603	64	1897
281.9	577	64	1962
272.2	570	64	2022
286.78	580	64	2089
275.74	581	64	2154
284.63	642	64	2220
271.83	639	72	2284
300.37	654	64	2353
287.12	685	64	2419
284.88	691	66	2480
282.64	648	65	2543
300.23	709	65	2602
291.03	715	67	2674
291.43	614	65	2739
291.9	798	68	2804
321.37	767	64	2871
318.78	648	64	2938
317.81	867	64	3009
296.11	732	64	3073
286.14	659	67	3134
316.47	701	68	3195
312.54	907	65	3263
312.6	955	64	3329
314.28	833	64	3392
306.75	880	64	3463
314.35	801	64	3521
351.71	784	68	3583
305.97	795	64	3655
365.35	853	64	3722
331.18	969	64	3787
354.28	943	64	3856
336.32	782	64	3928
308.26	911	67	3992
361.04	994	68	4054
345.24	972	66	4117
384.22	1009	64	4182
392.13	991	70	4251
367.94	1041	65	4316
352.99	1122	69	4380
359.39	1079	64	4444
405.02	1245	64	4502
328.87	1101	64	4575
403.33	1355	64	4639
412.47	1187	64	4698
431.73	1481	64	4765
401.1	1343	70	4828
400.41	1267	67	4895
428.38	1470	77	4965
382.12	1300	64	5033
454.03	1529	66	5098
429.65	1378	66	5170
438.38	1522	68	5229
380.37	1275	64	5285
437.79	1413	67	5345
443.73	1615	64	5409
481.25	1621	64	5473
426.7	1515	64	5537
439.53	1571	65	5600
461.24	1705	64	5665
475.65	1767	64	5732
412.57	1727	64	5794
420.26	1626	64	5855
406.13	1433	64	5919
429.2	1612	71	5984
433.19	1704	64	6052
422.71	1664	66	6114
425.86	1707	68	6175
366	1349	69	6240
455.34	1737	68	6306
417.3	1820	64	6369
419.33	1788	65	6436
361.93	1308	66	6503
428.92	1934	64	6560
449.37	1837	64	6624
417.99	1792	64	6693
439.27	2053	64	6761
444.47	2221	64	6829
433.56	2214	65	6891
395.26	1676	79	6955
421.87	2154	64	7018
393.74	2009	64	7090
492.92	2215	64	7158
456.79	2300	64	7222
351.25	2302	67	7289
489.92	2289	64	7354
422.88	2298	68	7422
390.93	2407	64	7487
474.31	2479	64	7553
469.93	2488	64	7618
483.25	2431	64	7684
452.21	2501	64	7748
449.76	2456	64	7815
493.63	2408	64	7882
489.23	2614	64	7951
487.68	2704	67	8016
497.61	2707	68	8079
547.71	2578	66	8151
520.68	2847	64	8214
478.38	2668	64	8277
556.64	2849	64	8338
472.99	2692	64	8402
575.6	2844	64	8474
479.64	2539	68	8542
479.22	2858	64	8601
469.2	2647	68	8677
435.99	3037	68	8741
486.79	2543	64	8810
566.57	2975	66	8876
485.84	3168	65	8938
435.49	2705	64	9003
576.53	3277	64	9068
538.74	3230	64	9136
445.16	2759	64	9197
460.06	3336	65	9269
496.55	3324	67	9329
540.81	2950	68	9398
566.73	3436	64	9465
545.52	3294	64	9529
432.52	2879	64	9593
439.36	3588	67	9659
584.86	3511	64	9720
409.94	2733	64	9788
544.83	3557	65	9848
494.69	3161	64	9912
621.74	3586	64	9982
496.06	3556	64	10049
492	3324	87	10121
595.66	3623	144	10206
829.46	3339	225	10318
1165.69	3667	350	10445
1419.13	3595	489	10666
