Ave Lat	Max Lat	Min Lat	Cycle
68.02	79	64	84
83.21	107	64	112
100.78	122	71	134
117.24	152	80	161
134.51	166	93	185
152.92	187	107	210
168.27	201	118	238
188.43	225	135	259
203.06	238	147	288
221.23	257	164	309
236.92	269	178	337
253.45	293	200	359
271.79	314	217	385
287.16	336	235	410
307.2	359	251	435
319.52	374	262	464
339.73	396	290	484
354.99	399	303	512
373.32	425	323	534
390.65	437	341	561
405.01	463	345	585
425.39	477	350	610
438.41	495	361	638
460.22	524	378	659
472.98	538	391	688
493.91	564	411	709
508.74	578	426	737
526.95	608	450	759
543.8	617	463	785
561.26	633	487	810
582.69	648	509	835
595.64	672	524	864
618.76	693	541	884
630.65	703	552	912
651.16	725	568	934
666.89	740	576	961
684.79	754	597	985
704.11	770	622	1010
717.98	787	629	1038
740.92	812	657	1059
751.49	827	671	1088
772.73	843	695	1109
785.91	865	706	1137
