Ave Lat	Max Lat	Min Lat	Cycle
47.31	67	44	77
56.44	86	44	104
63.51	107	44	130
69.17	107	44	157
74.63	131	44	181
80.26	142	44	210
82.96	140	44	236
89.22	166	44	261
96.62	179	44	289
100.02	186	44	314
107.81	190	44	340
110.75	196	44	367
114.51	210	44	392
119.12	218	44	416
124.58	224	46	442
130.98	231	44	466
136.08	240	44	493
141.4	238	44	516
145.18	245	50	543
150.05	255	44	568
153.19	260	44	592
154.05	273	44	618
159.06	301	51	643
164.27	318	44	670
166.68	332	55	692
170.37	358	44	719
174.41	368	51	744
178.48	382	44	769
185.38	367	44	794
188.03	347	57	818
193.5	343	44	845
200.75	347	51	868
201.78	360	62	895
210.42	375	53	919
212.88	379	44	944
218.28	380	54	970
217.25	394	44	994
226.07	402	67	1021
232.64	420	44	1044
234.75	434	55	1072
250.28	429	109	1098
